net,length_um
clknet_0_sys_clk_i,914.88µm
clknet_0_periph_clk_i,711.34µm
net322,426.41µm
net309,391.18µm
_0353_,379.37µm
net111,377.13µm
net278,361.5µm
sys_clk_i,347.67µm
net6,335.03µm
net298,300.66µm
_0479_,285.39µm
net458,279.64µm
net32,279.03µm
_0456_,273.53µm
_0790_,271.14µm
net2,267.27µm
s_uart_bits\[1\],267.17µm
net317,265.08µm
_0793_,264.57µm
_0430_,260.6µm
net313,260.38µm
net328,259.43µm
_0409_,254.49µm
_0413_,249.45µm
net316,249.35µm
net406,248.74µm
_0461_,247.67µm
periph_clk_i,244.58µm
s_uart_stop_bits,242.58µm
_0795_,242.53µm
net326,240.49µm
_0478_,238.1µm
net405,235.3µm
_0412_,234.89µm
_0446_,231.53µm
net433,230.36µm
_0357_,225.27µm
_0462_,224.4µm
s_uart_rx_polling_en,222.57µm
_0747_,221.96µm
_0523_,221.3µm
s_data_rx_dc\[1\],218.22µm
_0355_,216.82µm
_0394_,207.86µm
r_uart_div\[2\],204.55µm
r_uart_div\[3\],203.38µm
net31,202.92µm
net323,202.82µm
net324,201.8µm
net3,198.95µm
net17,192.33µm
net37,191.62µm
r_uart_div\[7\],191.11µm
r_uart_bits\[0\],190.6µm
net167,189.94µm
s_data_rx_dc\[5\],189.43µm
net311,188.87µm
clknet_5_10__leaf_sys_clk_i,184.9µm
net36,184.44µm
net76,184.24µm
net38,182.61µm
net220,182.05µm
net146,180.69µm
net28,179.35µm
r_uart_div\[1\],178.97µm
u_fifo.i_fifo.pointer_out\[0\],178.18µm
net304,178.18µm
net327,177.67µm
net99,176.7µm
_0451_,175.89µm
r_uart_div\[5\],175.43µm
s_uart_en_tx,173.75µm
net157,170.85µm
r_uart_bits\[1\],170.39µm
net367,169.83µm
s_data_rx_dc\[0\],164.84µm
r_uart_div\[12\],163.21µm
net33,163.16µm
net34,163.16µm
clknet_5_31__leaf_sys_clk_i,163.11µm
_0364_,163.01µm
net319,162.75µm
net224,161.28µm
