Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_96_664,VDD,Metal1,381.3065,395.3430,4.999997
FILLER_96_648,VDD,Metal1,374.6880,395.2280,4.999997
FILLER_96_614,VDD,Metal1,360.1955,395.1510,4.999997
FILLER_96_580,VDD,Metal1,341.1555,395.1510,4.999997
FILLER_96_546,VDD,Metal1,322.1155,395.1510,4.999997
FILLER_96_542,VDD,Metal1,310.8000,395.9200,4.999997
FILLER_96_534,VDD,Metal1,308.5065,395.3430,4.999997
FILLER_96_518,VDD,Metal1,301.8880,395.2280,4.999997
FILLER_96_508,VDD,Metal1,291.7600,395.9200,4.999996
FILLER_96_474,VDD,Metal1,272.7200,395.9200,4.999995
FILLER_96_441,VDD,Metal1,253.9600,395.9200,4.999994
FILLER_96_404,VDD,Metal1,234.4600,395.4875,4.999994
FILLER_96_378,VDD,Metal1,218.6800,395.9200,4.999994
FILLER_96_376,VDD,Metal1,217.8400,395.9200,4.999994
FILLER_96_372,VDD,Metal1,215.6000,395.9200,4.999994
FILLER_96_346,VDD,Metal1,200.7600,395.9200,4.999995
FILLER_96_342,VDD,Metal1,199.7400,395.4875,4.999995
FILLER_96_305,VDD,Metal1,177.8000,395.9200,4.999996
FILLER_96_289,VDD,Metal1,173.6480,395.2280,4.999996
FILLER_96_240,VDD,Metal1,150.7555,395.1510,4.999996
FILLER_96_206,VDD,Metal1,131.7155,395.1510,4.999997
FILLER_96_172,VDD,Metal1,112.6755,395.1510,4.999997
FILLER_96_138,VDD,Metal1,93.6355,395.1510,4.999997
FILLER_96_104,VDD,Metal1,74.5955,395.1510,4.999997
FILLER_96_70,VDD,Metal1,55.5555,395.1510,4.999997
FILLER_96_36,VDD,Metal1,36.5155,395.1510,4.999998
FILLER_96_33,VDD,Metal1,25.4800,395.9200,4.999998
FILLER_96_25,VDD,Metal1,23.4665,395.3430,4.999998
FILLER_96_16,VDD,Metal1,15.9600,395.9200,4.999998
FILLER_96_14,VDD,Metal1,15.1200,395.9200,4.999998
FILLER_96_10,VDD,Metal1,13.8200,395.4875,4.999998
FILLER_96_2,VDD,Metal1,10.5865,395.3430,4.999998
FILLER_95_668,VDD,Metal1,381.3600,388.0800,4.999967
FILLER_95_664,VDD,Metal1,380.0600,388.5125,4.999967
FILLER_95_632,VDD,Metal1,370.2755,388.8485,4.999967
FILLER_95_626,VDD,Metal1,358.7800,388.5125,4.999967
FILLER_95_562,VDD,Metal1,340.0750,388.8940,4.999967
FILLER_95_559,VDD,Metal1,320.0400,388.0800,4.999967
FILLER_95_557,VDD,Metal1,319.2000,388.0800,4.999967
FILLER_95_549,VDD,Metal1,316.9065,388.6565,4.999967
FILLER_95_517,VDD,Metal1,305.8755,388.8485,4.999967
FILLER_95_492,VDD,Metal1,283.7400,388.5125,4.999963
FILLER_95_276,VDD,Metal1,162.7800,388.5125,4.999962
FILLER_95_212,VDD,Metal1,144.0750,388.8940,4.999962
FILLER_95_206,VDD,Metal1,123.5800,388.5125,4.999962
FILLER_95_142,VDD,Metal1,104.8750,388.8940,4.999962
FILLER_95_136,VDD,Metal1,84.3800,388.5125,4.999962
FILLER_95_72,VDD,Metal1,65.6750,388.8940,4.999962
FILLER_95_68,VDD,Metal1,45.3600,388.0800,4.999962
FILLER_95_36,VDD,Metal1,36.5155,388.8485,4.999962
FILLER_94_669,VDD,Metal1,381.6400,388.0800,4.999967
FILLER_94_667,VDD,Metal1,380.8000,388.0800,4.999967
FILLER_94_661,VDD,Metal1,378.3800,387.6475,4.999967
FILLER_94_597,VDD,Metal1,359.6750,387.2655,4.999967
FILLER_94_591,VDD,Metal1,339.1800,387.6475,4.999967
FILLER_94_527,VDD,Metal1,320.4750,387.2655,4.999967
FILLER_94_517,VDD,Metal1,298.9865,387.5030,4.999967
FILLER_94_508,VDD,Metal1,291.4800,388.0800,4.999963
FILLER_94_506,VDD,Metal1,290.6400,388.0800,4.999963
FILLER_94_384,VDD,Metal1,222.0400,388.0800,4.999957
FILLER_94_382,VDD,Metal1,221.2000,388.0800,4.999957
FILLER_94_341,VDD,Metal1,197.9600,388.0800,4.999958
FILLER_94_317,VDD,Metal1,184.5200,388.0800,4.999960
FILLER_94_314,VDD,Metal1,182.8400,388.0800,4.999962
FILLER_94_312,VDD,Metal1,182.0000,388.0800,4.999962
FILLER_94_308,VDD,Metal1,180.7000,387.6475,4.999962
FILLER_94_298,VDD,Metal1,174.1600,388.0800,4.999962
FILLER_94_294,VDD,Metal1,172.8600,387.6475,4.999962
FILLER_94_259,VDD,Metal1,152.0400,388.0800,4.999962
FILLER_94_255,VDD,Metal1,151.0200,387.6475,4.999962
FILLER_94_247,VDD,Metal1,147.7865,387.5030,4.999962
FILLER_94_241,VDD,Metal1,143.1800,387.6475,4.999962
FILLER_94_177,VDD,Metal1,124.4750,387.2655,4.999962
FILLER_94_171,VDD,Metal1,103.9800,387.6475,4.999962
FILLER_94_107,VDD,Metal1,85.2750,387.2655,4.999962
FILLER_94_101,VDD,Metal1,64.7800,387.6475,4.999962
FILLER_94_37,VDD,Metal1,46.0750,387.2655,4.999962
FILLER_94_34,VDD,Metal1,26.0400,388.0800,4.999965
FILLER_94_2,VDD,Metal1,17.4755,387.3110,4.999965
FILLER_93_672,VDD,Metal1,383.6000,380.2400,4.999919
FILLER_93_664,VDD,Metal1,381.3065,380.8165,4.999919
FILLER_93_632,VDD,Metal1,370.2755,381.0085,4.999919
FILLER_93_626,VDD,Metal1,358.7800,380.6725,4.999919
