Metric,Value
timing__setup_vio__count__corner:max_ss_125C_4v50,10
timing__setup_r2r__ws__corner:max_ss_125C_4v50,3.790412
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,82125.2
design__violations,0
design__instance__count__class:timing_repair_buffer,492
design__instance__area__class:timing_repair_buffer,13136.1
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,119
design__instance__area__class:clock_buffer,9913.52
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,45
global_route__wirelength,130426
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
route__net,2012
route__net__special,2
route__drc_errors__iter:0,13
route__wirelength__iter:0,86486
route__drc_errors__iter:1,9
route__wirelength__iter:1,86481
route__drc_errors__iter:2,11
route__wirelength__iter:2,86481
route__drc_errors__iter:3,0
route__wirelength__iter:3,86473
route__drc_errors,0
route__wirelength,86473
route__vias,11459
route__vias__singlecut,11459
route__vias__multicut,0
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,8.7808
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,24
design__critical_disconnected_pin__count,0
route__wirelength__max,941.3
design__instance__count__class:fill_cell,4065
design__instance__area__class:fill_cell,73537
timing__unannotated_net__count__corner:nom_tt_025C_5v00,45
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,45
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,45
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,0
design__max_fanout_violation__count__corner:min_tt_025C_5v00,2
design__max_cap_violation__count__corner:min_tt_025C_5v00,0
clock__skew__worst_hold__corner:min_tt_025C_5v00,-0.27676448027849726
clock__skew__worst_setup__corner:min_tt_025C_5v00,0.27676448027849726
timing__hold__ws__corner:min_tt_025C_5v00,0.3432572101493483
timing__setup__ws__corner:min_tt_025C_5v00,6.693048971161845
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.343257
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,11.406088
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,45
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,28
design__max_fanout_violation__count__corner:min_ss_125C_4v50,2
design__max_cap_violation__count__corner:min_ss_125C_4v50,0
clock__skew__worst_hold__corner:min_ss_125C_4v50,-0.2955901995725863
clock__skew__worst_setup__corner:min_ss_125C_4v50,0.2955901995725863
timing__hold__ws__corner:min_ss_125C_4v50,0.888838361404028
timing__setup__ws__corner:min_ss_125C_4v50,-0.8529284187015297
