net,length_um
clknet_0_sys_clk_i,943.69µm
clknet_0_periph_clk_i,655.75µm
net339,607.39µm
net456,483.3µm
net331,415.31µm
net111,391.03µm
net326,390.57µm
net328,384.54µm
net303,366.44µm
net330,364.86µm
sys_clk_i,346.55µm
net6,332.89µm
net336,325.61µm
_0364_,303.67µm
_0456_,290.94µm
net455,282.95µm
clknet_5_27__leaf_sys_clk_i,268.49µm
_0461_,267.47µm
s_uart_bits\[1\],263.3µm
net255,252.81µm
net485,249.35µm
periph_clk_i,240.15µm
net351,239.37µm
net323,237.74µm
s_uart_stop_bits,235.25µm
net361,232.65µm
net346,232.14µm
_0412_,231.58µm
net340,231.53µm
net296,230.26µm
net315,227.51µm
net448,226.5µm
net338,224.2µm
_0357_,223.59µm
s_data_rx_dc\[1\],223.26µm
_0462_,223.18µm
_0747_,222.47µm
net471,218.6µm
net434,215.24µm
net230,213.76µm
net17,212.34µm
net337,211.88µm
net32,209.59µm
net484,207.96µm
net37,206.23µm
net544,202.97µm
r_uart_div\[7\],201.29µm
net542,201.19µm
net483,200.22µm
net327,199.56µm
_0394_,198.85µm
r_uart_div\[3\],198.44µm
net461,198.03µm
r_uart_div\[2\],197.78µm
net31,197.37µm
net293,196.25µm
net343,193.86µm
net224,192.84µm
net543,192.69µm
net353,192.43µm
net344,191.31µm
net229,191.16µm
r_uart_bits\[0\],190.14µm
s_uart_rx_polling_en,189.99µm
net426,186.17µm
net5,184.95µm
_0451_,184.85µm
r_uart_div\[1\],183.83µm
net428,183.32µm
net220,182.61µm
net36,182.15µm
s_data_rx_dc\[5\],181.64µm
net356,181.03µm
clknet_5_10__leaf_sys_clk_i,178.79µm
net228,178.43µm
net157,178.13µm
net540,175.94µm
r_uart_div\[5\],173.8µm
s_uart_en_tx,173.75µm
clknet_5_6__leaf_sys_clk_i,173.29µm
net438,171.66µm
net309,168.66µm
net342,168.66µm
net460,168.3µm
net463,168.05µm
clknet_5_29__leaf_sys_clk_i,167.49µm
net481,166.42µm
net28,165.4µm
r_uart_bits\[1\],165.4µm
r_uart_div\[12\],164.74µm
net329,164.38µm
net167,163.06µm
u_uart_rx.baud_cnt\[0\],162.55µm
clknet_5_26__leaf_sys_clk_i,161.99µm
s_data_rx_dc\[0\],161.94µm
net3,160.82µm
net214,160.26µm
net265,159.7µm
net443,159.24µm
clknet_5_25__leaf_sys_clk_i,159.24µm
net355,157µm
net85,156.8µm
_0515_,155.83µm
net541,155.27µm
net128,155.17µm
net335,155.12µm
clknet_5_24__leaf_sys_clk_i,154.1µm
net440,152.98µm
net295,152.37µm
net2,151.45µm
net207,151.25µm
clknet_5_31__leaf_sys_clk_i,150.79µm
r_uart_div\[8\],150.48µm
net476,150.38µm
net202,150.36µm
net473,150.33µm
net341,149.06µm
clknet_5_7__leaf_sys_clk_i,149.06µm
net314,147.84µm
net252,147.38µm
r_uart_div\[15\],147.33µm
s_uart_en_rx,146.87µm
net444,144.68µm
net34,144.53µm
net76,144.48µm
net320,143.61µm
_0739_,142.9µm
net33,142.9µm
net112,142.85µm
net38,141.88µm
net226,141.83µm
_0374_,141.68µm
net21,140.05µm
net432,139.54µm
clknet_5_14__leaf_sys_clk_i,138.42µm
r_uart_div\[13\],138.37µm
r_uart_div\[6\],137.91µm
r_uart_div\[9\],137.86µm
net99,135.11µm
net452,133.94µm
net467,133.94µm
net300,132.26µm
clknet_5_30__leaf_sys_clk_i,131.9µm
net458,131.29µm
net194,131.14µm
net446,130.02µm
_0450_,128.9µm
s_data_rx_dc\[4\],128.85µm
net436,128.44µm
net164,127.78µm
u_uart_rx.baud_cnt\[4\],127.73µm
net333,127.68µm
net358,127.22µm
_0706_,127.17µm
net231,127.17µm
clknet_5_11__leaf_sys_clk_i,126.81µm
net195,126.66µm
net200,124.98µm
net474,124.98µm
net302,123.86µm
net177,123.81µm
r_uart_div\[14\],123.25µm
net450,122.89µm
_0790_,122.69µm
net534,122.69µm
s_uart_bits\[0\],122.13µm
net257,121.62µm
net227,121.06µm
_0376_,119.89µm
net319,119.43µm
net146,119.33µm
net218,119.33µm
u_uart_rx.reg_rx_sync\[2\],118.92µm
u_uart_rx.baud_cnt\[9\],118.26µm
clknet_5_22__leaf_periph_clk_i,118.16µm
u_uart_tx.busy_o,116.53µm
clknet_5_1__leaf_sys_clk_i,116.02µm
net539,116.02µm
net1,115.74µm
net4,115.51µm
net430,115.05µm
clknet_5_21__leaf_sys_clk_i,115µm
u_uart_rx.bit_done,114.34µm
s_uart_rx_clean_fifo,114.29µm
clknet_5_13__leaf_sys_clk_i,113.88µm
clknet_5_4__leaf_sys_clk_i,113.32µm
clknet_5_12__leaf_sys_clk_i,113.32µm
s_uart_rx_irq_en,112.2µm
clknet_5_20__leaf_sys_clk_i,112.2µm
net322,112.15µm
clknet_5_0__leaf_sys_clk_i,111.74µm
net160,111.64µm
net264,111.54µm
u_uart_rx.baud_cnt\[6\],111.08µm
_0513_,110.88µm
u_reg_if.r_uart_rx_data\[1\],110.37µm
net401,109.86µm
net256,109.35µm
net103,109.3µm
clknet_5_9__leaf_sys_clk_i,109.3µm
net298,108.84µm
clknet_5_5__leaf_sys_clk_i,108.74µm
u_dc_fifo_rx.u_din.full.full_synch.d_in\[0\],108.69µm
net466,108.33µm
net263,107.67µm
net464,107.62µm
net360,107.06µm
u_uart_rx.baud_cnt\[3\],105.89µm
net479,105.43µm
clknet_5_28__leaf_sys_clk_i,104.92µm
net261,104.77µm
net349,104.31µm
net537,104.31µm
net424,104.16µm
u_dc_fifo_tx.u_din.write_token\[0\],103.85µm
net262,103.8µm
clknet_5_15__leaf_sys_clk_i,103.75µm
cfg_tx_startaddr_o[0],103.46µm
cfg_tx_startaddr_o[9],103.27µm
_0744_,103.14µm
cfg_rx_size_o[5],103.05µm
net375,102.53µm
_0743_,102.48µm
_0409_,101.56µm
clknet_5_22__leaf_sys_clk_i,101.46µm
net365,100.9µm
net308,99.83µm
clknet_5_3__leaf_periph_clk_i,99.83µm
clknet_5_0__leaf_periph_clk_i,99.78µm
u_dc_fifo_rx.u_din.write_token\[3\],99.73µm
net366,99.73µm
net350,99.32µm
_0512_,99.27µm
net306,99.27µm
net212,98.61µm
net321,98.61µm
cfg_tx_startaddr_o[3],98.42µm
net453,98.15µm
net301,97.59µm
net259,97.44µm
u_dc_fifo_tx.u_din.write_token\[3\],97.13µm
net168,97.03µm
net179,96.42µm
u_uart_rx.baud_cnt\[10\],96.37µm
u_uart_tx.bit_done,95.91µm
