net,length_um
cfg_rx_size_o[4],95.77µm
cfg_rx_startaddr_o[0],95.06µm
_0413_,94.13µm
u_uart_tx.CS\[2\],93.72µm
r_uart_parity_en,93.67µm
_0502_,93.62µm
net362,93.52µm
cfg_tx_size_o[7],93.38µm
cfg_rx_size_o[8],93.38µm
clknet_5_23__leaf_sys_clk_i,93.11µm
net359,93.06µm
clknet_5_8__leaf_periph_clk_i,93.06µm
net258,93.01µm
net198,92.55µm
net469,92.5µm
s_uart_parity_en,92.4µm
clknet_5_18__leaf_periph_clk_i,91.94µm
cfg_tx_size_o[13],91.85µm
u_uart_rx.CS\[1\],91.43µm
cfg_rx_size_o[0],91.19µm
net334,90.77µm
u_uart_tx.CS\[1\],90.51µm
u_uart_tx.baud_cnt\[1\],90.26µm
net274,90.21µm
net260,90.16µm
r_uart_div\[4\],89.7µm
_0785_,89.6µm
net188,89.6µm
clknet_5_12__leaf_periph_clk_i,89.29µm
clknet_5_23__leaf_periph_clk_i,89.19µm
net203,89.09µm
cfg_rx_size_o[1],88.9µm
net213,88.58µm
clknet_5_26__leaf_periph_clk_i,88.58µm
_0685_,88.53µm
net357,88.07µm
clknet_5_19__leaf_periph_clk_i,87.97µm
cfg_tx_startaddr_o[4],87.78µm
s_data_rx_dc\[2\],87.51µm
clknet_5_18__leaf_sys_clk_i,87.41µm
net536,86.9µm
cfg_tx_size_o[3],86.66µm
clknet_5_29__leaf_periph_clk_i,86.49µm
net477,86.44µm
_0445_,86.34µm
_0592_,86.24µm
net408,86.24µm
clknet_5_16__leaf_sys_clk_i,85.93µm
s_data_rx_dc\[7\],85.83µm
clknet_5_14__leaf_periph_clk_i,85.68µm
clknet_5_8__leaf_sys_clk_i,85.37µm
_0707_,85.27µm
u_dc_fifo_tx.u_dout.read_token\[1\],85.27µm
cfg_tx_startaddr_o[8],84.98µm
u_uart_rx.baud_cnt\[5\],84.66µm
u_uart_rx.baud_cnt\[15\],84.61µm
net113,84.56µm
net478,84.2µm
clknet_5_28__leaf_periph_clk_i,84.15µm
_0712_,83.59µm
_0446_,83.49µm
cfg_tx_size_o[9],83.3µm
net172,82.88µm
net369,82.88µm
cfg_tx_startaddr_o[6],82.84µm
clknet_5_17__leaf_periph_clk_i,82.57µm
_0447_,82.47µm
net216,82.47µm
net199,82.42µm
net206,82.37µm
r_uart_div\[0\],82.37µm
cfg_rx_startaddr_o[1],82.23µm
r_uart_div\[10\],81.86µm
_0006_,81.81µm
cfg_rx_startaddr_o[3],81.72µm
u_uart_tx.CS\[0\],81.5µm
cfg_rx_size_o[7],81.06µm
cfg_rx_size_o[2],81.06µm
_0532_,80.84µm
u_dc_fifo_rx.u_din.write_token\[1\],80.79µm
u_uart_rx.baud_cnt\[13\],80.79µm
u_dc_fifo_rx.u_din.write_token\[0\],80.69µm
cfg_tx_size_o[0],80.6µm
cfg_tx_size_o[6],80.5µm
net215,79.57µm
net307,79.57µm
cfg_tx_startaddr_o[7],79.38µm
cfg_tx_size_o[8],79.38µm
_0540_,79.06µm
r_uart_en_tx_sync\[2\],79.06µm
u_uart_rx.baud_cnt\[1\],79.06µm
clknet_5_13__leaf_periph_clk_i,78.5µm
clknet_5_3__leaf_sys_clk_i,78.45µm
i_ep_err_parity.i_sync_clkb.i_pulp_sync.serial_i,78.4µm
net236,78.4µm
net416,78.4µm
cfg_rx_startaddr_o[8],78.26µm
_0802_,77.89µm
net222,77.89µm
clknet_5_1__leaf_periph_clk_i,77.89µm
net433,77.43µm
net104,77.33µm
cfg_rx_startaddr_o[2],77.14µm
_0494_,76.92µm
_0697_,76.92µm
clknet_5_16__leaf_periph_clk_i,76.87µm
net147,76.77µm
_0429_,76.31µm
u_dc_fifo_tx.u_din.write_token\[2\],76.31µm
net441,76.26µm
net139,76.16µm
s_uart_div\[6\],76.16µm
cfg_rx_startaddr_o[5],76.02µm
clknet_5_10__leaf_periph_clk_i,75.85µm
cfg_tx_size_o[5],75.56µm
_0746_,75.14µm
cfg_rx_size_o[6],74.95µm
cfg_tx_startaddr_o[2],74.9µm
clknet_5_9__leaf_periph_clk_i,74.63µm
clknet_5_24__leaf_periph_clk_i,74.58µm
_0369_,74.53µm
net254,74.12µm
net208,73.97µm
clknet_5_2__leaf_periph_clk_i,73.97µm
cfg_rx_startaddr_o[6],73.83µm
u_dc_fifo_rx.u_dout.read_token\[3\],73.51µm
clknet_5_7__leaf_periph_clk_i,73.46µm
_0362_,73.41µm
u_uart_rx.baud_cnt\[7\],72.9µm
_0298_,72.85µm
_0758_,72.8µm
clknet_5_21__leaf_periph_clk_i,72.49µm
net105,72.29µm
s_data_rx_dc\[3\],71.83µm
u_fifo.i_fifo.elements\[0\],71.83µm
clknet_5_5__leaf_periph_clk_i,71.83µm
u_uart_rx.CS\[2\],71.22µm
net454,71.17µm
u_uart_rx.CS\[0\],70.91µm
net305,70.76µm
_0691_,70.66µm
u_uart_rx.baud_cnt\[8\],70.61µm
cfg_rx_size_o[13],70.47µm
u_uart_tx.baud_cnt\[0\],70.25µm
_0496_,70.1µm
net247,70.1µm
_0848_,70.05µm
u_dc_fifo_rx.u_din.write_token\[2\],70.05µm
_0377_,70µm
cfg_tx_startaddr_o[5],69.3µm
s_data_rx_dc\[6\],69.03µm
net171,68.98µm
cfg_tx_size_o[1],68.74µm
cfg_rx_startaddr_o[4],68.74µm
u_uart_tx.baud_cnt\[8\],68.47µm
u_uart_rx.baud_cnt\[14\],68.42µm
u_uart_tx.baud_cnt\[12\],68.37µm
_0361_,68.32µm
net410,68.32µm
net299,68.32µm
net310,68.32µm
_0353_,67.91µm
clknet_5_20__leaf_periph_clk_i,67.91µm
clknet_5_25__leaf_periph_clk_i,67.86µm
net159,67.81µm
net468,67.81µm
_0629_,67.76µm
i_ep_err_overflow.i_sync_clkb.i_pulp_sync.serial_i,67.76µm
_0408_,67.25µm
cfg_tx_size_o[2],67.06µm
_0721_,66.84µm
u_dc_fifo_rx.u_dout.read_token\[2\],66.79µm
net239,66.69µm
net421,66.08µm
net324,65.57µm
_0784_,65.06µm
_0495_,64.6µm
u_dc_fifo_rx.dst_rstn_i,64.45µm
net412,64.45µm
net155,64.4µm
net304,63.89µm
net480,63.89µm
cfg_tx_size_o[12],63.7µm
_0674_,63.43µm
clknet_5_4__leaf_periph_clk_i,63.38µm
_0796_,63.33µm
u_uart_tx.baud_cnt\[4\],62.92µm
_0676_,62.77µm
_0601_,62.72µm
cfg_rx_continuous_o,62.58µm
u_dc_fifo_tx.u_dout.read_token\[2\],62.31µm
_0778_,62.26µm
net472,62.26µm
_0805_,62.16µm
net240,62.16µm
net35,61.88µm
clknet_5_19__leaf_sys_clk_i,61.65µm
net109,61.6µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[0\],61.6µm
u_dc_fifo_rx.u_dout.read_token\[0\],61.34µm
clknet_5_2__leaf_sys_clk_i,61.19µm
u_dc_fifo_rx.u_dout.read_token\[1\],60.63µm
s_uart_div\[0\],60.48µm
cfg_tx_size_o[4],60.34µm
_0800_,59.92µm
_0576_,59.51µm
_0375_,59.41µm
_0448_,59.41µm
net311,59.41µm
net462,59.41µm
data_rx_o[3],59.375µm
_0293_,59.36µm
_0343_,59.36µm
cfg_tx_startaddr_o[1],59.22µm
_0493_,58.95µm
net431,58.9µm
_0294_,58.85µm
_0694_,58.85µm
net406,58.8µm
u_dc_fifo_tx.u_dout.read_token\[3\],58.49µm
clknet_5_17__leaf_sys_clk_i,58.29µm
cfg_tx_size_o[15],58.1µm
_0387_,57.68µm
net204,57.68µm
net396,57.68µm
cfg_rx_startaddr_o[7],57.54µm
_0350_,57.37µm
net457,57.27µm
net189,57.17µm
s_uart_div\[10\],57.17µm
net173,56.66µm
_0449_,56.1µm
cfg_data_o[2],56.015µm
_0650_,56µm
_0822_,56µm
u_dc_fifo_tx.u_din.full.full_synch.d_in\[0\],56µm
net498,55.86µm
_0355_,55.49µm
clknet_5_27__leaf_periph_clk_i,55.49µm
cfg_data_o[0],55.455µm
cfg_data_o[4],55.455µm
u_fifo.i_fifo.elements\[1\],55.08µm
net345,55.03µm
net447,55.03µm
s_uart_div\[12\],54.98µm
net223,54.93µm
net435,54.93µm
net363,54.88µm
net117,54.52µm
net427,54.42µm
u_fifo.i_fifo.pointer_out\[0\],54.37µm
_0407_,53.86µm
_0680_,53.86µm
net174,53.86µm
_0804_,53.81µm
_0517_,53.76µm
_0334_,53.3µm
_0714_,53.25µm
net389,53.25µm
net442,53.25µm
cfg_rx_size_o[12],53.11µm
cfg_data_o[1],52.655µm
_0677_,52.64µm
net176,52.08µm
net368,52.08µm
_0852_,51.62µm
data_rx_o[2],51.585µm
_0478_,51.57µm
net367,51.57µm
_0668_,50.55µm
net465,50.5µm
net170,50.45µm
net209,50.45µm
s_uart_div\[15\],50.45µm
_0360_,50.4µm
net248,50.27µm
_0292_,49.94µm
net193,49.94µm
_0812_,49.89µm
net152,49.84µm
_0332_,49.38µm
_0327_,48.82µm
r_uart_stop_bits,48.82µm
cfg_data_o[25],48.785µm
cfg_data_o[22],48.785µm
_0393_,48.77µm
net180,48.77µm
u_dc_fifo_tx.u_din.buffer.data\[17\],48.77µm
u_uart_rx.baud_cnt\[2\],48.77µm
cfg_data_o[21],48.735µm
_0358_,48.72µm
_0622_,48.26µm
net7,48.26µm
net191,48.16µm
clknet_5_11__leaf_periph_clk_i,48.16µm
net8,47.75µm
s_uart_div\[1\],47.75µm
cfg_data_o[6],47.665µm
data_rx_o[6],47.665µm
_0700_,47.65µm
_0723_,47.65µm
s_uart_div\[5\],47.65µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[3\],47.65µm
clknet_5_30__leaf_periph_clk_i,47.65µm
cfg_tx_curr_addr_i[4],47.615µm
cfg_data_o[9],47.46µm
_0306_,47.14µm
_0844_,47.14µm
_0701_,47.09µm
cfg_data_o[29],47.055µm
net55,47.04µm
net495,46.95µm
cfg_data_o[19],46.545µm
_0365_,46.48µm
cfg_rx_en_o,46.34µm
u_dc_fifo_tx.u_din.write_token\[1\],46.02µm
u_uart_rx.reg_bit_count\[2\],46.02µm
_0823_,45.97µm
clknet_5_6__leaf_periph_clk_i,45.97µm
_0388_,45.92µm
net107,45.64µm
net211,45.46µm
net190,45.41µm
u_uart_tx.baud_cnt\[7\],45.41µm
net437,45.41µm
cfg_data_o[28],45.375µm
_0382_,45.36µm
u_reg_if.r_uart_rx_data_valid,45.36µm
_0379_,44.85µm
u_dc_fifo_tx.u_dout.read_token\[0\],44.85µm
net420,44.85µm
cfg_data_o[24],44.815µm
cfg_data_o[16],44.815µm
_0838_,44.8µm
net161,44.8µm
net210,44.8µm
cfg_addr_i[4],44.66µm
u_dc_fifo_tx.u_din.buffer.data\[5\],44.39µm
_0634_,44.34µm
u_uart_tx.reg_data\[0\],44.34µm
_0479_,44.29µm
net132,44.29µm
data_rx_o[4],44.255µm
_0764_,44.24µm
net238,44.24µm
_0441_,43.78µm
u_uart_tx.baud_cnt\[9\],43.78µm
net325,43.73µm
r_uart_en_rx_sync\[2\],43.5µm
u_dc_fifo_rx.u_dout.empty_synch.d_out\[2\],43.22µm
u_uart_tx.baud_cnt\[10\],43.22µm
clknet_5_15__leaf_periph_clk_i,43.22µm
_0452_,43.17µm
net182,43.17µm
u_dc_fifo_tx.u_din.buffer.data\[26\],43.17µm
data_rx_o[5],43.135µm
cfg_data_o[20],43.135µm
net515,43.03µm
cfg_addr_i[1],42.98µm
_0661_,42.71µm
_0742_,42.71µm
s_uart_div\[2\],42.71µm
_0307_,42.66µm
cfg_data_o[17],42.625µm
_0671_,42.61µm
u_reg_if.r_uart_rx_data\[6\],42.56µm
u_dc_fifo_rx.u_din.buffer.data\[0\],42.05µm
net399,42µm
err_event_o,41.91µm
net185,41.54µm
net108,41.44µm
net376,41.44µm
_0378_,40.93µm
_0453_,40.93µm
r_status_sync\[2\],40.93µm
r_uart_en_rx_sync\[1\],40.93µm
u_dc_fifo_tx.u_din.buffer.data\[21\],40.93µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[2\],40.93µm
net275,40.93µm
cfg_data_o[27],40.895µm
_0430_,40.88µm
net23,40.88µm
net395,40.88µm
cfg_addr_i[3],40.79µm
cfg_data_o[8],40.74µm
u_uart_rx.baud_cnt\[12\],40.52µm
cfg_data_i[22],40.385µm
cfg_data_o[26],40.385µm
net75,40.37µm
s_uart_div\[8\],40.37µm
u_fifo.r_inflight\[1\],40.37µm
u_uart_rx.reg_bit_count\[1\],40.37µm
u_uart_tx.baud_cnt\[11\],40.37µm
net186,40.32µm
_0684_,39.96µm
_0716_,39.96µm
_0541_,39.86µm
_0777_,39.81µm
_0372_,39.76µm
net219,39.76µm
net429,39.76µm
_0727_,39.25µm
net60,39.25µm
cfg_rx_curr_addr_i[4],39.215µm
cfg_data_o[30],39.215µm
net439,38.74µm
cfg_data_o[5],38.655µm
net119,38.64µm
clknet_4_6_0_periph_clk_i,38.64µm
_0454_,38.23µm
net26,38.13µm
net535,38.13µm
cfg_tx_clr_o,37.99µm
_0342_,37.57µm
cfg_data_i[28],37.535µm
cfg_data_i[29],37.535µm
cfg_addr_i[0],37.38µm
cfg_rwn_i,37.38µm
_0788_,37.21µm
_0561_,37.06µm
_0854_,37.06µm
u_dc_fifo_tx.u_din.buffer.data\[25\],37.06µm
u_dc_fifo_tx.u_din.buffer.data\[27\],37.06µm
u_dc_fifo_tx.u_din.buffer.data\[28\],37.06µm
_0397_,37.01µm
net192,37.01µm
cfg_data_i[16],36.975µm
cfg_tx_bytes_left_i[4],36.975µm
uart_rx_i,36.975µm
net43,36.96µm
net382,36.96µm
net504,36.82µm
_0803_,36.5µm
cfg_data_i[25],36.465µm
cfg_data_i[26],36.465µm
_0209_,36.45µm
u_dc_fifo_tx.u_din.buffer.data\[23\],36.45µm
u_uart_rx.reg_bit_count\[0\],36.45µm
net380,36.4µm
_0311_,35.99µm
cfg_rx_bytes_left_i[2],35.855µm
net149,35.84µm
net383,35.84µm
u_uart_tx.baud_cnt\[6\],35.43µm
u_dc_fifo_tx.u_din.buffer.data\[1\],35.38µm
_0384_,35.33µm
_0699_,35.33µm
net18,35.33µm
net217,35.33µm
net281,35.33µm
cfg_data_i[17],35.295µm
clknet_4_1_0_sys_clk_i,35.28µm
cfg_addr_i[2],35.19µm
cfg_tx_curr_addr_i[9],35.19µm
_0356_,34.87µm
net451,34.87µm
cfg_data_o[3],34.785µm
net196,34.77µm
u_uart_tx.baud_cnt\[13\],34.77µm
net313,34.77µm
_0414_,34.72µm
cfg_data_i[4],34.58µm
_0688_,34.36µm
s_uart_div\[13\],34.21µm
cfg_tx_bytes_left_i[10],34.175µm
_0363_,34.16µm
u_fifo.i_fifo.pointer_in\[0\],34.16µm
net243,34.16µm
net423,34.16µm
net312,34.16µm
net162,33.7µm
_0444_,33.65µm
_0615_,33.65µm
net197,33.65µm
u_uart_tx.baud_cnt\[3\],33.65µm
cfg_rx_bytes_left_i[4],33.615µm
_0765_,33.6µm
net56,33.6µm
cfg_data_o[7],33.46µm
cfg_rx_clr_o,33.46µm
_0460_,33.14µm
_0657_,33.14µm
_0731_,33.14µm
net445,33.14µm
_0329_,33.09µm
cfg_data_i[27],33.055µm
cfg_rx_bytes_left_i[3],33.055µm
cfg_rx_bytes_left_i[6],33.055µm
cfg_rx_pending_i,33.055µm
cfg_tx_curr_addr_i[6],33.055µm
clknet_4_10_0_periph_clk_i,33.04µm
clknet_4_15_0_periph_clk_i,33.04µm
s_uart_div\[14\],32.63µm
u_dc_fifo_rx.u_din.buffer.data\[2\],32.58µm
u_fifo.i_fifo.buffer\[1\]\[3\],32.53µm
u_reg_if.r_uart_rx_data\[3\],32.53µm
cfg_data_i[18],32.495µm
data_rx_o[1],32.495µm
net118,32.48µm
s_uart_div\[9\],32.02µm
cfg_rx_curr_addr_i[2],31.985µm
net175,31.97µm
net183,31.97µm
u_dc_fifo_rx.u_din.buffer.data\[29\],31.97µm
clknet_4_10_0_sys_clk_i,31.97µm
cfg_rx_bytes_left_i[1],31.935µm
cfg_tx_curr_addr_i[1],31.935µm
cfg_tx_curr_addr_i[2],31.935µm
cfg_tx_curr_addr_i[5],31.935µm
cfg_tx_pending_i,31.935µm
_0614_,31.92µm
net70,31.92µm
u_dc_fifo_tx.u_din.buffer.data\[22\],31.92µm
net241,31.92µm
clknet_4_7_0_periph_clk_i,31.92µm
clknet_5_31__leaf_periph_clk_i,31.92µm
cfg_tx_curr_addr_i[8],31.83µm
_0521_,31.46µm
net121,31.41µm
clknet_4_11_0_periph_clk_i,31.41µm
net538,31.41µm
cfg_data_i[24],31.375µm
net66,31.36µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[1\],31.36µm
net288,31.36µm
clknet_4_8_0_periph_clk_i,31.36µm
_0398_,30.9µm
_0501_,30.9µm
net131,30.9µm
net153,30.9µm
u_dc_fifo_rx.u_din.buffer.data\[18\],30.9µm
net73,30.85µm
u_dc_fifo_rx.u_din.buffer.data\[19\],30.85µm
clknet_4_0_0_periph_clk_i,30.85µm
cfg_valid_i,30.66µm
_0702_,30.34µm
net169,30.34µm
u_dc_fifo_tx.u_din.buffer.data\[6\],30.34µm
u_reg_if.r_uart_rx_data\[2\],30.34µm
_0585_,30.29µm
u_dc_fifo_rx.u_din.buffer.data\[9\],30.29µm
u_uart_tx.reg_data\[7\],30.29µm
cfg_data_i[30],30.255µm
_0722_,30.24µm
net270,30.24µm
net347,30.24µm
cfg_rx_bytes_left_i[9],30.1µm
_0574_,29.78µm
u_dc_fifo_rx.u_din.buffer.data\[4\],29.78µm
net205,29.73µm
u_dc_fifo_tx.u_din.buffer.data\[18\],29.73µm
net402,29.73µm
net225,29.73µm
cfg_rx_bytes_left_i[0],29.695µm
cfg_rx_bytes_left_i[13],29.695µm
cfg_tx_bytes_left_i[5],29.695µm
net45,29.68µm
net187,29.68µm
r_status_sync\[1\],29.68µm
net381,29.68µm
cfg_data_i[13],29.54µm
cfg_tx_continuous_o,29.54µm
u_uart_tx.reg_bit_count\[0\],29.27µm
u_uart_tx.reg_data\[2\],29.22µm
net143,29.17µm
u_uart_tx.reg_data\[5\],29.17µm
_0370_,29.12µm
u_dc_fifo_rx.u_din.buffer.data\[10\],29.12µm
u_uart_rx.baud_cnt\[11\],28.71µm
_0068_,28.61µm
i_ep_event.i_sync_clkb.serial_o,28.61µm
u_dc_fifo_rx.u_din.full.full_synch.d_out\[0\],28.61µm
u_fifo.i_fifo.buffer\[1\]\[1\],28.61µm
u_uart_tx.baud_cnt\[2\],28.61µm
cfg_rx_bytes_left_i[5],28.575µm
cfg_rx_curr_addr_i[5],28.575µm
cfg_rx_curr_addr_i[6],28.575µm
cfg_tx_bytes_left_i[14],28.575µm
cfg_tx_bytes_left_i[2],28.575µm
cfg_tx_en_i,28.575µm
net144,28.56µm
net74,28.56µm
clknet_4_0_0_sys_clk_i,28.56µm
net22,28.1µm
_0762_,28.05µm
_0807_,28.05µm
u_dc_fifo_tx.u_din.buffer.data\[0\],28.05µm
clknet_4_1_0_periph_clk_i,28.05µm
_0623_,28µm
net42,28µm
r_uart_en_tx_sync\[1\],28µm
u_reg_if.r_uart_rx_data\[4\],28µm
net459,28µm
_0291_,27.64µm
u_dc_fifo_rx.u_din.buffer.data\[7\],27.54µm
u_dc_fifo_tx.u_din.buffer.data\[3\],27.54µm
cfg_tx_curr_addr_i[3],27.505µm
net9,27.49µm
net100,27.49µm
clknet_4_5_0_periph_clk_i,27.49µm
cfg_rx_bytes_left_i[12],27.455µm
cfg_rx_bytes_left_i[15],27.455µm
cfg_rx_curr_addr_i[1],27.455µm
cfg_rx_en_i,27.455µm
cfg_tx_bytes_left_i[1],27.455µm
cfg_tx_bytes_left_i[3],27.455µm
cfg_tx_bytes_left_i[7],27.455µm
u_dc_fifo_rx.u_din.buffer.data\[6\],27.44µm
net291,27.44µm
clknet_4_6_0_sys_clk_i,27.44µm
cfg_data_i[6],27.3µm
cfg_data_i[7],27.3µm
cfg_rx_curr_addr_i[9],27.3µm
data_rx_valid_o,27.3µm
_0653_,27.03µm
_0717_,26.98µm
net10,26.98µm
u_dc_fifo_rx.u_din.buffer.data\[3\],26.98µm
net294,26.98µm
_0359_,26.93µm
cfg_rx_curr_addr_i[7],26.895µm
cfg_tx_bytes_left_i[6],26.895µm
_0257_,26.88µm
_0390_,26.88µm
_0402_,26.88µm
_0529_,26.88µm
_0649_,26.88µm
_0771_,26.88µm
net400,26.88µm
net377,26.88µm
cfg_rx_bytes_left_i[7],26.74µm
cfg_tx_size_o[14],26.74µm
cfg_data_i[31],26.645µm
_0679_,26.52µm
_0720_,26.42µm
net154,26.42µm
_0740_,26.37µm
_0827_,26.37µm
cfg_rx_curr_addr_i[3],26.335µm
cfg_tx_bytes_left_i[0],26.335µm
cfg_tx_curr_addr_i[0],26.335µm
net158,26.32µm
cfg_data_i[1],26.18µm
cfg_rx_curr_addr_i[8],26.18µm
_0301_,25.86µm
u_fifo.i_fifo.buffer\[0\]\[6\],25.86µm
u_reg_if.r_err_parity,25.86µm
_0178_,25.81µm
_0673_,25.81µm
_0745_,25.81µm
net80,25.81µm
s_uart_div\[4\],25.81µm
cfg_data_i[21],25.775µm
net68,25.76µm
cfg_data_i[2],25.62µm
