Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_96_664,VSS,Metal1,380.2930,392.4615,0.000015
FILLER_96_648,VSS,Metal1,373.4720,392.5480,0.000015
FILLER_96_614,VSS,Metal1,358.8440,392.5975,0.000015
FILLER_96_580,VSS,Metal1,339.8040,392.5975,0.000015
FILLER_96_546,VSS,Metal1,320.7640,392.5975,0.000015
FILLER_96_512,VSS,Metal1,301.7240,392.5975,0.000016
FILLER_96_494,VSS,Metal1,287.2320,392.5480,0.000017
FILLER_96_396,VSS,Metal1,228.7600,392.0000,0.000023
FILLER_96_392,VSS,Metal1,226.9800,392.3485,0.000023
FILLER_96_373,VSS,Metal1,215.8800,392.0000,0.000023
FILLER_96_369,VSS,Metal1,214.1000,392.3485,0.000023
FILLER_96_361,VSS,Metal1,210.6130,392.4615,0.000023
FILLER_96_344,VSS,Metal1,199.6400,392.0000,0.000022
FILLER_96_342,VSS,Metal1,198.8000,392.0000,0.000022
FILLER_96_339,VSS,Metal1,196.8400,392.0000,0.000022
FILLER_96_335,VSS,Metal1,195.0600,392.3485,0.000022
FILLER_96_323,VSS,Metal1,187.8800,392.0000,0.000021
FILLER_96_319,VSS,Metal1,186.1000,392.3485,0.000020
FILLER_96_289,VSS,Metal1,168.8400,392.0000,0.000018
FILLER_96_240,VSS,Metal1,149.4040,392.5975,0.000015
FILLER_96_206,VSS,Metal1,130.3640,392.5975,0.000015
FILLER_96_172,VSS,Metal1,111.3240,392.5975,0.000015
FILLER_96_138,VSS,Metal1,92.2840,392.5975,0.000015
FILLER_96_104,VSS,Metal1,73.2440,392.5975,0.000014
FILLER_96_70,VSS,Metal1,54.2040,392.5975,0.000014
FILLER_96_36,VSS,Metal1,35.1640,392.5975,0.000013
FILLER_96_33,VSS,Metal1,25.4800,392.0000,0.000013
FILLER_96_25,VSS,Metal1,22.4530,392.4615,0.000013
FILLER_96_16,VSS,Metal1,15.9600,392.0000,0.000014
FILLER_96_14,VSS,Metal1,15.1200,392.0000,0.000014
FILLER_96_10,VSS,Metal1,13.0600,392.3485,0.000014
FILLER_96_2,VSS,Metal1,9.5730,392.4615,0.000014
FILLER_95_668,VSS,Metal1,381.3600,392.0000,0.000015
FILLER_95_664,VSS,Metal1,379.3000,391.6510,0.000015
FILLER_95_632,VSS,Metal1,368.9240,391.4020,0.000015
FILLER_95_626,VSS,Metal1,358.0200,391.6510,0.000015
FILLER_95_562,VSS,Metal1,338.6445,391.3620,0.000015
FILLER_95_559,VSS,Metal1,320.0400,392.0000,0.000015
FILLER_95_551,VSS,Metal1,317.0130,391.5380,0.000015
FILLER_95_519,VSS,Metal1,305.6440,391.4020,0.000016
FILLER_95_492,VSS,Metal1,282.9800,391.6510,0.000017
FILLER_95_486,VSS,Metal1,279.6200,391.6510,0.000020
FILLER_95_458,VSS,Metal1,263.4800,392.0000,0.000021
FILLER_95_454,VSS,Metal1,261.7000,391.6510,0.000021
FILLER_95_426,VSS,Metal1,245.5600,392.0000,0.000023
FILLER_95_422,VSS,Metal1,243.7800,391.6510,0.000023
