Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_96_664,VDD,Metal1,381.3065,395.3430,4.999993
FILLER_96_648,VDD,Metal1,374.6880,395.2280,4.999993
FILLER_96_614,VDD,Metal1,360.1955,395.1510,4.999993
FILLER_96_580,VDD,Metal1,341.1555,395.1510,4.999993
FILLER_96_546,VDD,Metal1,322.1155,395.1510,4.999993
FILLER_96_512,VDD,Metal1,303.0755,395.1510,4.999993
FILLER_96_494,VDD,Metal1,288.4480,395.2280,4.999992
FILLER_96_396,VDD,Metal1,228.7600,395.9200,4.999989
FILLER_96_392,VDD,Metal1,227.7400,395.4875,4.999989
FILLER_96_373,VDD,Metal1,215.8800,395.9200,4.999989
FILLER_96_369,VDD,Metal1,214.8600,395.4875,4.999989
FILLER_96_361,VDD,Metal1,211.6265,395.3430,4.999989
FILLER_96_344,VDD,Metal1,199.6400,395.9200,4.999991
FILLER_96_342,VDD,Metal1,198.8000,395.9200,4.999991
FILLER_96_339,VDD,Metal1,196.8400,395.9200,4.999991
FILLER_96_335,VDD,Metal1,195.8200,395.4875,4.999991
FILLER_96_323,VDD,Metal1,187.8800,395.9200,4.999992
FILLER_96_319,VDD,Metal1,186.8600,395.4875,4.999992
FILLER_96_289,VDD,Metal1,168.8400,395.9200,4.999993
FILLER_96_240,VDD,Metal1,150.7555,395.1510,4.999993
FILLER_96_206,VDD,Metal1,131.7155,395.1510,4.999993
FILLER_96_172,VDD,Metal1,112.6755,395.1510,4.999994
FILLER_96_138,VDD,Metal1,93.6355,395.1510,4.999994
FILLER_96_104,VDD,Metal1,74.5955,395.1510,4.999995
FILLER_96_70,VDD,Metal1,55.5555,395.1510,4.999995
FILLER_96_36,VDD,Metal1,36.5155,395.1510,4.999995
FILLER_96_33,VDD,Metal1,25.4800,395.9200,4.999996
FILLER_96_25,VDD,Metal1,23.4665,395.3430,4.999996
FILLER_96_16,VDD,Metal1,15.9600,395.9200,4.999996
FILLER_96_14,VDD,Metal1,15.1200,395.9200,4.999996
FILLER_96_10,VDD,Metal1,13.8200,395.4875,4.999996
FILLER_96_2,VDD,Metal1,10.5865,395.3430,4.999996
FILLER_95_668,VDD,Metal1,381.3600,388.0800,4.999967
FILLER_95_664,VDD,Metal1,380.0600,388.5125,4.999967
FILLER_95_632,VDD,Metal1,370.2755,388.8485,4.999967
FILLER_95_626,VDD,Metal1,358.7800,388.5125,4.999967
FILLER_95_562,VDD,Metal1,340.0750,388.8940,4.999967
FILLER_95_559,VDD,Metal1,320.0400,388.0800,4.999967
FILLER_95_551,VDD,Metal1,318.0265,388.6565,4.999967
FILLER_95_519,VDD,Metal1,306.9955,388.8485,4.999967
FILLER_95_492,VDD,Metal1,283.7400,388.5125,4.999960
FILLER_95_486,VDD,Metal1,280.3800,388.5125,4.999960
FILLER_95_458,VDD,Metal1,263.4800,388.0800,4.999957
FILLER_95_454,VDD,Metal1,262.4600,388.5125,4.999956
FILLER_95_426,VDD,Metal1,245.5600,388.0800,4.999955
FILLER_95_422,VDD,Metal1,244.5400,388.5125,4.999955
FILLER_95_416,VDD,Metal1,241.1800,388.5125,4.999955
FILLER_95_404,VDD,Metal1,233.2400,388.0800,4.999954
FILLER_95_400,VDD,Metal1,232.2200,388.5125,4.999954
FILLER_95_317,VDD,Metal1,184.5200,388.0800,4.999959
FILLER_95_315,VDD,Metal1,183.6800,388.0800,4.999959
FILLER_95_307,VDD,Metal1,181.3865,388.6565,4.999960
FILLER_95_290,VDD,Metal1,169.4000,388.0800,4.999961
FILLER_95_282,VDD,Metal1,167.3865,388.6565,4.999961
FILLER_95_276,VDD,Metal1,162.7800,388.5125,4.999961
FILLER_95_212,VDD,Metal1,144.0750,388.8940,4.999961
FILLER_95_206,VDD,Metal1,123.5800,388.5125,4.999961
FILLER_95_142,VDD,Metal1,104.8750,388.8940,4.999961
FILLER_95_136,VDD,Metal1,84.3800,388.5125,4.999961
FILLER_95_72,VDD,Metal1,65.6750,388.8940,4.999961
FILLER_95_66,VDD,Metal1,45.1800,388.5125,4.999961
FILLER_95_50,VDD,Metal1,39.8080,388.7720,4.999961
FILLER_95_18,VDD,Metal1,26.4355,388.8485,4.999961
FILLER_94_669,VDD,Metal1,381.6400,388.0800,4.999967
FILLER_94_667,VDD,Metal1,380.8000,388.0800,4.999967
FILLER_94_661,VDD,Metal1,378.3800,387.6475,4.999967
FILLER_94_597,VDD,Metal1,359.6750,387.2655,4.999967
FILLER_94_591,VDD,Metal1,339.1800,387.6475,4.999967
FILLER_94_527,VDD,Metal1,320.4750,387.2655,4.999967
FILLER_94_508,VDD,Metal1,291.4800,388.0800,4.999961
FILLER_94_506,VDD,Metal1,290.6400,388.0800,4.999960
FILLER_94_481,VDD,Metal1,276.6400,388.0800,4.999959
FILLER_94_451,VDD,Metal1,260.7800,387.6475,4.999956
FILLER_94_391,VDD,Metal1,225.9600,388.0800,4.999954
FILLER_94_387,VDD,Metal1,224.9400,387.6475,4.999954
FILLER_94_384,VDD,Metal1,222.0400,388.0800,4.999953
FILLER_94_382,VDD,Metal1,221.2000,388.0800,4.999953
FILLER_94_314,VDD,Metal1,182.8400,388.0800,4.999960
FILLER_94_312,VDD,Metal1,182.0000,388.0800,4.999960
FILLER_94_308,VDD,Metal1,180.7000,387.6475,4.999961
FILLER_94_298,VDD,Metal1,174.1600,388.0800,4.999961
FILLER_94_294,VDD,Metal1,172.8600,387.6475,4.999961
FILLER_94_259,VDD,Metal1,152.0400,388.0800,4.999961
FILLER_94_255,VDD,Metal1,151.0200,387.6475,4.999961
FILLER_94_247,VDD,Metal1,147.7865,387.5030,4.999961
FILLER_94_241,VDD,Metal1,143.1800,387.6475,4.999961
FILLER_94_177,VDD,Metal1,124.4750,387.2655,4.999961
FILLER_94_171,VDD,Metal1,103.9800,387.6475,4.999961
FILLER_94_107,VDD,Metal1,85.2750,387.2655,4.999961
FILLER_94_101,VDD,Metal1,64.7800,387.6475,4.999961
FILLER_94_37,VDD,Metal1,46.0750,387.2655,4.999961
FILLER_94_34,VDD,Metal1,26.0400,388.0800,4.999961
FILLER_94_2,VDD,Metal1,17.4755,387.3110,4.999961
FILLER_93_672,VDD,Metal1,383.6000,380.2400,4.999924
FILLER_93_664,VDD,Metal1,381.3065,380.8165,4.999924
FILLER_93_632,VDD,Metal1,370.2755,381.0085,4.999924
FILLER_93_626,VDD,Metal1,358.7800,380.6725,4.999924
FILLER_93_562,VDD,Metal1,340.0750,381.0540,4.999924
FILLER_93_558,VDD,Metal1,319.7600,380.2400,4.999924
FILLER_93_550,VDD,Metal1,317.4665,380.8165,4.999924
FILLER_93_534,VDD,Metal1,310.8480,380.9320,4.999924
FILLER_93_492,VDD,Metal1,284.9865,380.8165,4.999921
FILLER_93_488,VDD,Metal1,280.5600,380.2400,4.999920
FILLER_93_480,VDD,Metal1,278.2665,380.8165,4.999919
FILLER_93_430,VDD,Metal1,247.8000,380.2400,4.999921
FILLER_93_419,VDD,Metal1,241.6400,380.2400,4.999921
FILLER_93_417,VDD,Metal1,240.8000,380.2400,4.999921
FILLER_93_404,VDD,Metal1,233.5200,380.2400,4.999921
FILLER_93_400,VDD,Metal1,232.2200,380.6725,4.999931
FILLER_93_356,VDD,Metal1,206.3600,380.2400,4.999940
FILLER_93_352,VDD,Metal1,205.3400,380.6725,4.999940
FILLER_93_349,VDD,Metal1,202.4400,380.2400,4.999940
FILLER_93_345,VDD,Metal1,201.4200,380.6725,4.999942
FILLER_93_288,VDD,Metal1,168.2800,380.2400,4.999949
FILLER_93_286,VDD,Metal1,167.4400,380.2400,4.999949
FILLER_93_282,VDD,Metal1,166.1400,380.6725,4.999949
FILLER_93_276,VDD,Metal1,162.7800,380.6725,4.999949
FILLER_93_212,VDD,Metal1,144.0750,381.0540,4.999949
FILLER_93_206,VDD,Metal1,123.5800,380.6725,4.999950
FILLER_93_142,VDD,Metal1,104.8750,381.0540,4.999950
FILLER_93_136,VDD,Metal1,84.3800,380.6725,4.999950
FILLER_93_72,VDD,Metal1,65.6750,381.0540,4.999950
FILLER_93_66,VDD,Metal1,45.1800,380.6725,4.999950
FILLER_93_2,VDD,Metal1,26.4750,381.0540,4.999950
FILLER_92_677,VDD,Metal1,386.1200,380.2400,4.999924
FILLER_92_675,VDD,Metal1,385.2800,380.2400,4.999924
FILLER_92_667,VDD,Metal1,382.9865,379.6630,4.999924
FILLER_92_661,VDD,Metal1,378.3800,379.8075,4.999924
FILLER_92_597,VDD,Metal1,359.6750,379.4255,4.999924
FILLER_92_591,VDD,Metal1,339.1800,379.8075,4.999924
FILLER_92_527,VDD,Metal1,320.4750,379.4255,4.999924
FILLER_92_453,VDD,Metal1,260.9600,380.2400,4.999920
FILLER_92_435,VDD,Metal1,250.8800,380.2400,4.999920
FILLER_92_391,VDD,Metal1,226.2400,380.2400,4.999931
FILLER_92_387,VDD,Metal1,224.9400,379.8075,4.999931
FILLER_92_357,VDD,Metal1,208.1400,379.8075,4.999940
FILLER_92_348,VDD,Metal1,201.8800,380.2400,4.999942
FILLER_92_340,VDD,Metal1,199.8665,379.6630,4.999942
FILLER_92_313,VDD,Metal1,182.5600,380.2400,4.999943
FILLER_92_309,VDD,Metal1,181.2600,379.8075,4.999944
FILLER_92_301,VDD,Metal1,178.0265,379.6630,4.999945
FILLER_92_269,VDD,Metal1,157.6400,380.2400,4.999949
FILLER_92_267,VDD,Metal1,156.8000,380.2400,4.999949
FILLER_92_263,VDD,Metal1,155.5000,379.8075,4.999949
FILLER_92_247,VDD,Metal1,150.1280,379.5480,4.999949
FILLER_92_241,VDD,Metal1,143.1800,379.8075,4.999950
FILLER_92_177,VDD,Metal1,124.4750,379.4255,4.999950
FILLER_92_171,VDD,Metal1,103.9800,379.8075,4.999950
FILLER_92_107,VDD,Metal1,85.2750,379.4255,4.999950
FILLER_92_101,VDD,Metal1,64.7800,379.8075,4.999950
FILLER_92_37,VDD,Metal1,46.0750,379.4255,4.999950
FILLER_92_34,VDD,Metal1,26.0400,380.2400,4.999950
FILLER_92_2,VDD,Metal1,17.4755,379.4710,4.999950
FILLER_91_680,VDD,Metal1,388.0800,372.4000,4.999975
FILLER_91_664,VDD,Metal1,383.6480,373.0920,4.999975
FILLER_91_632,VDD,Metal1,370.2755,373.1685,4.999975
FILLER_91_626,VDD,Metal1,358.7800,372.8325,4.999975
FILLER_91_562,VDD,Metal1,340.0750,373.2140,4.999975
FILLER_91_556,VDD,Metal1,319.5800,372.8325,4.999975
FILLER_91_492,VDD,Metal1,300.8750,373.2140,4.999975
FILLER_91_489,VDD,Metal1,280.8400,372.4000,4.999975
FILLER_91_457,VDD,Metal1,272.2755,373.1685,4.999975
FILLER_91_422,VDD,Metal1,244.5400,372.8325,4.999971
FILLER_91_419,VDD,Metal1,241.6400,372.4000,4.999968
FILLER_91_415,VDD,Metal1,240.6200,372.8325,4.999968
FILLER_91_407,VDD,Metal1,237.3865,372.9765,4.999963
FILLER_91_372,VDD,Metal1,215.3200,372.4000,4.999963
FILLER_91_356,VDD,Metal1,206.3600,372.4000,4.999963
FILLER_91_352,VDD,Metal1,205.3400,372.8325,4.999963
FILLER_91_348,VDD,Metal1,202.1600,372.4000,4.999963
FILLER_91_332,VDD,Metal1,197.7280,373.0920,4.999963
FILLER_91_282,VDD,Metal1,169.7280,373.0920,4.999965
FILLER_91_276,VDD,Metal1,162.7800,372.8325,4.999965
FILLER_91_212,VDD,Metal1,144.0750,373.2140,4.999965
FILLER_91_206,VDD,Metal1,123.5800,372.8325,4.999965
FILLER_91_142,VDD,Metal1,104.8750,373.2140,4.999965
FILLER_91_136,VDD,Metal1,84.3800,372.8325,4.999965
FILLER_91_72,VDD,Metal1,65.6750,373.2140,4.999965
FILLER_91_66,VDD,Metal1,45.1800,372.8325,4.999965
FILLER_91_2,VDD,Metal1,26.4750,373.2140,4.999965
FILLER_90_681,VDD,Metal1,388.3600,372.4000,4.999975
FILLER_90_679,VDD,Metal1,387.5200,372.4000,4.999975
FILLER_90_675,VDD,Metal1,386.2200,371.9675,4.999975
FILLER_90_667,VDD,Metal1,382.9865,371.8230,4.999975
FILLER_90_661,VDD,Metal1,378.3800,371.9675,4.999975
FILLER_90_597,VDD,Metal1,359.6750,371.5855,4.999975
FILLER_90_591,VDD,Metal1,339.1800,371.9675,4.999975
FILLER_90_527,VDD,Metal1,320.4750,371.5855,4.999975
FILLER_90_521,VDD,Metal1,299.9800,371.9675,4.999975
FILLER_90_457,VDD,Metal1,281.2750,371.5855,4.999975
FILLER_90_454,VDD,Metal1,261.2400,372.4000,4.999973
FILLER_90_452,VDD,Metal1,260.4000,372.4000,4.999973
FILLER_90_435,VDD,Metal1,250.6000,372.4000,4.999971
FILLER_90_419,VDD,Metal1,241.6400,372.4000,4.999968
FILLER_90_417,VDD,Metal1,240.8000,372.4000,4.999968
FILLER_90_401,VDD,Metal1,231.5600,372.4000,4.999962
FILLER_90_399,VDD,Metal1,230.7200,372.4000,4.999962
FILLER_90_395,VDD,Metal1,229.4200,371.9675,4.999962
FILLER_90_387,VDD,Metal1,226.1865,371.8230,4.999962
FILLER_90_383,VDD,Metal1,221.7600,372.4000,4.999962
FILLER_90_375,VDD,Metal1,219.4665,371.8230,4.999962
