net,length_um
cfg_tx_size_o[0],78.82µm
_0540_,78.55µm
net254,78.4µm
cfg_rx_startaddr_o[2],78.26µm
net139,77.84µm
net310,77.43µm
net199,77.38µm
net148,77.33µm
clknet_5_25__leaf_sys_clk_i,77.33µm
net215,77.28µm
u_uart_rx.baud_cnt\[13\],77.28µm
cfg_rx_size_o[7],77.19µm
cfg_rx_size_o[4],77.14µm
clknet_5_17__leaf_periph_clk_i,77.02µm
_0697_,76.92µm
clknet_5_10__leaf_periph_clk_i,76.92µm
clknet_5_1__leaf_sys_clk_i,76.87µm
u_fifo.i_fifo.elements\[0\],76.82µm
_0532_,76.36µm
net104,76.21µm
_0298_,76.16µm
s_uart_div\[6\],76.16µm
net236,76.16µm
clknet_5_27__leaf_sys_clk_i,75.7µm
cfg_tx_size_o[5],75.46µm
_0494_,75.14µm
net499,75.04µm
u_uart_rx.baud_cnt\[1\],74.73µm
clknet_5_12__leaf_periph_clk_i,74.63µm
u_dc_fifo_rx.u_dout.read_token\[1\],74.58µm
_0362_,74.53µm
net174,74.53µm
s_data_rx_dc\[6\],74.53µm
net379,74.48µm
cfg_tx_startaddr_o[5],74.34µm
clknet_5_16__leaf_periph_clk_i,73µm
_0691_,72.95µm
_0365_,72.9µm
clknet_5_9__leaf_sys_clk_i,72.44µm
s_data_rx_dc\[3\],72.39µm
net296,72.24µm
_0721_,71.27µm
net202,71.12µm
u_uart_rx.baud_cnt\[7\],70.66µm
net496,70.66µm
_0848_,70.61µm
i_ep_err_overflow.i_sync_clkb.i_pulp_sync.serial_i,70.61µm
u_uart_rx.baud_cnt\[8\],69.64µm
i_ep_err_parity.i_sync_clkb.i_pulp_sync.serial_i,69.54µm
u_dc_fifo_rx.u_din.write_token\[2\],69.54µm
u_uart_rx.CS\[0\],69.54µm
u_uart_rx.baud_cnt\[14\],69.54µm
u_uart_tx.baud_cnt\[8\],69.54µm
net35,69.49µm
net208,68.98µm
_0629_,68.93µm
_0802_,68.93µm
_0361_,68.88µm
net172,68.88µm
cfg_tx_size_o[1],68.74µm
u_dc_fifo_rx.u_dout.read_token\[2\],68.52µm
u_uart_tx.baud_cnt\[12\],68.47µm
net105,68.42µm
clknet_5_27__leaf_periph_clk_i,68.42µm
_0408_,68.37µm
net193,68.37µm
u_dc_fifo_rx.dst_rstn_i,68.37µm
net247,67.86µm
_0676_,67.81µm
_0784_,67.3µm
clknet_5_5__leaf_periph_clk_i,67.3µm
_0495_,66.84µm
net195,66.79µm
clknet_5_23__leaf_sys_clk_i,66.79µm
clknet_5_20__leaf_periph_clk_i,66.23µm
net297,66.18µm
net415,66.18µm
net403,65.82µm
u_uart_tx.baud_cnt\[4\],65.77µm
u_uart_rx.baud_cnt\[15\],65.62µm
cfg_tx_size_o[8],65.43µm
_0778_,65.06µm
_0758_,65.01µm
cfg_tx_size_o[2],64.82µm
cfg_rx_startaddr_o[4],64.82µm
_0576_,64.55µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[0\],64.45µm
clknet_5_2__leaf_periph_clk_i,63.89µm
net387,63.43µm
u_uart_rx.CS\[2\],63.38µm
clknet_5_4__leaf_periph_clk_i,63.38µm
net500,62.82µm
_0601_,62.72µm
cfg_tx_size_o[12],62.63µm
cfg_rx_continuous_o,62.58µm
u_dc_fifo_tx.u_dout.read_token\[2\],62.26µm
net435,62.26µm
_0375_,62.16µm
net495,62.16µm
_0674_,61.75µm
clknet_5_8__leaf_sys_clk_i,61.24µm
_0449_,61.14µm
clknet_5_20__leaf_sys_clk_i,61.14µm
_0448_,61.09µm
net240,61.09µm
net344,61.04µm
net291,60.58µm
clknet_5_2__leaf_sys_clk_i,60.12µm
net109,59.97µm
_0294_,59.92µm
s_uart_div\[0\],59.92µm
data_rx_o[3],59.375µm
_0805_,59.36µm
net319,59.36µm
cfg_tx_startaddr_o[2],59.22µm
u_dc_fifo_rx.u_dout.read_token\[0\],59µm
u_fifo.i_fifo.pointer_out\[0\],58.85µm
net373,58.8µm
u_dc_fifo_rx.u_dout.read_token\[3\],58.34µm
cfg_tx_size_o[4],58.15µm
cfg_tx_size_o[15],58.1µm
cfg_rx_en_o,58.1µm
u_dc_fifo_tx.u_dout.read_token\[3\],57.88µm
net404,57.78µm
net513,57.22µm
_0714_,57.17µm
net223,57.17µm
_0650_,57.12µm
cfg_rx_clr_o,56.98µm
_0343_,56.76µm
_0350_,56.76µm
u_fifo.i_fifo.elements\[1\],56.76µm
s_uart_div\[10\],56.66µm
net459,55.91µm
cfg_data_o[4],55.455µm
net185,55.44µm
net325,55.03µm
_0694_,54.93µm
cfg_data_o[0],54.895µm
_0293_,54.88µm
_0796_,54.88µm
net414,54.37µm
_0680_,54.32µm
net423,53.96µm
_0804_,53.81µm
_0387_,53.76µm
net376,53.76µm
clknet_5_11__leaf_periph_clk_i,53.3µm
_0822_,53.2µm
cfg_rx_startaddr_o[1],53.16µm
net152,52.69µm
cfg_tx_startaddr_o[1],52.5µm
net248,52.23µm
clknet_5_31__leaf_periph_clk_i,52.18µm
net209,52.13µm
_0677_,52.08µm
_0668_,51.9µm
_0852_,51.62µm
net375,51.52µm
_0452_,51.06µm
u_dc_fifo_tx.u_din.buffer.data\[23\],51.06µm
net164,51.01µm
net402,51.01µm
_0393_,50.96µm
data_rx_o[2],50.465µm
cfg_data_o[1],50.415µm
_0844_,50.4µm
net176,50.4µm
cfg_rx_size_o[12],50.26µm
cfg_data_o[6],49.905µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[3\],49.89µm
net442,49.84µm
_0332_,49.38µm
clknet_5_30__leaf_periph_clk_i,49.38µm
net358,49.33µm
_0382_,49.28µm
net384,49.28µm
cfg_data_o[25],48.785µm
cfg_data_o[22],48.785µm
_0517_,48.77µm
net180,48.77µm
net183,48.77µm
cfg_data_o[21],48.735µm
net204,48.72µm
s_uart_div\[12\],48.31µm
_0622_,48.26µm
net7,48.26µm
cfg_tx_clr_o,48.02µm
net8,47.75µm
s_uart_div\[1\],47.75µm
_0327_,47.7µm
s_uart_div\[5\],47.7µm
cfg_data_o[31],47.665µm
s_uart_div\[15\],47.65µm
clknet_5_6__leaf_periph_clk_i,47.65µm
cfg_tx_curr_addr_i[4],47.615µm
data_rx_o[6],47.615µm
_0358_,47.6µm
_0372_,47.6µm
net117,47.6µm
_0306_,47.14µm
net189,47.14µm
_0502_,47.09µm
net348,47.04µm
_0292_,46.63µm
_0334_,46.53µm
_0701_,46.53µm
r_uart_stop_bits,46.53µm
cfg_data_o[29],46.495µm
_0388_,46.48µm
u_dc_fifo_tx.u_din.write_token\[1\],46.02µm
u_uart_rx.reg_bit_count\[2\],46.02µm
u_uart_tx.baud_cnt\[9\],46.02µm
u_dc_fifo_tx.u_din.full.full_synch.d_in\[0\],45.97µm
cfg_data_o[16],45.935µm
_0838_,45.92µm
net381,45.92µm
_0671_,45.51µm
net211,45.46µm
u_uart_rx.baud_cnt\[2\],45.46µm
cfg_data_o[28],45.375µm
u_dc_fifo_tx.u_dout.read_token\[0\],44.9µm
_0634_,44.85µm
cfg_data_o[24],44.815µm
r_uart_en_rx_sync\[2\],44.39µm
cfg_data_o[2],44.305µm
_0764_,44.29µm
net132,44.29µm
net210,44.29µm
u_dc_fifo_tx.u_din.buffer.data\[5\],44.29µm
u_uart_tx.baud_cnt\[7\],44.29µm
data_rx_o[4],44.255µm
net407,43.88µm
_0700_,43.73µm
net159,43.73µm
net107,43.73µm
net372,43.73µm
net119,43.68µm
u_reg_if.r_uart_rx_data\[6\],43.68µm
cfg_addr_i[4],43.59µm
_0307_,43.22µm
u_uart_tx.baud_cnt\[10\],43.22µm
u_dc_fifo_rx.u_dout.empty_synch.d_out\[2\],43.17µm
u_dc_fifo_tx.u_din.buffer.data\[26\],43.17µm
cfg_data_o[20],43.135µm
_0823_,43.12µm
net60,43.12µm
net238,43.12µm
net349,43.12µm
cfg_addr_i[1],42.98µm
_0661_,42.71µm
_0742_,42.71µm
s_uart_div\[2\],42.71µm
cfg_data_o[17],42.625µm
_0379_,42.61µm
net186,42.61µm
_0684_,42.2µm
_0561_,42.1µm
clknet_4_5_0_periph_clk_i,42.05µm
net108,42µm
cfg_addr_i[3],41.86µm
_0699_,41.59µm
_0541_,41.54µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[2\],41.54µm
clknet_4_15_0_periph_clk_i,41.54µm
_0812_,41.49µm
net371,41.49µm
net268,41.49µm
data_rx_o[5],41.455µm
net360,41.44µm
cfg_data_o[9],41.3µm
_0453_,40.93µm
r_uart_en_rx_sync\[1\],40.93µm
u_fifo.r_inflight\[1\],40.93µm
clknet_4_5_0_sys_clk_i,40.93µm
clknet_4_11_0_periph_clk_i,40.93µm
cfg_data_o[27],40.895µm
net23,40.88µm
_0454_,40.42µm
cfg_data_i[22],40.385µm
cfg_data_o[26],40.385µm
_0446_,40.37µm
net75,40.37µm
s_uart_div\[8\],40.37µm
u_uart_rx.reg_bit_count\[1\],40.37µm
clknet_4_8_0_periph_clk_i,40.37µm
_0441_,40.32µm
net338,40.32µm
net476,40.18µm
u_uart_tx.reg_bit_count\[0\],39.96µm
net205,39.81µm
u_uart_tx.baud_cnt\[11\],39.81µm
clknet_4_0_0_periph_clk_i,39.81µm
net219,39.76µm
net329,39.76µm
cfg_tx_curr_addr_i[9],39.62µm
cfg_data_o[30],39.215µm
net55,39.2µm
net217,39.2µm
net241,39.2µm
net301,39.2µm
clknet_4_6_0_periph_clk_i,39.2µm
u_uart_rx.baud_cnt\[12\],38.74µm
u_reg_if.r_uart_rx_data_valid,38.69µm
clknet_4_13_0_periph_clk_i,38.69µm
_0342_,38.13µm
net26,38.13µm
u_dc_fifo_tx.u_din.buffer.data\[17\],38.13µm
cfg_rx_curr_addr_i[4],38.095µm
cfg_data_o[5],38.095µm
net182,38.08µm
r_status_sync\[2\],38.08µm
net357,38.08µm
_0716_,37.72µm
net418,37.67µm
cfg_data_i[28],37.585µm
cfg_data_i[29],37.535µm
cfg_addr_i[0],37.38µm
net409,37.06µm
_0815_,37.01µm
u_dc_fifo_tx.u_din.buffer.data\[0\],37.01µm
u_dc_fifo_tx.u_din.buffer.data\[22\],37.01µm
cfg_data_i[16],36.975µm
uart_rx_i,36.975µm
cfg_data_o[19],36.975µm
net43,36.96µm
u_uart_tx.baud_cnt\[2\],36.96µm
net342,36.96µm
err_event_o,36.82µm
_0854_,36.55µm
u_uart_tx.baud_cnt\[6\],36.55µm
_0727_,36.5µm
_0731_,36.5µm
_0777_,36.5µm
_0788_,36.5µm
cfg_data_i[26],36.465µm
net428,36.45µm
clknet_4_12_0_periph_clk_i,36.45µm
cfg_data_i[25],36.415µm
net382,36.4µm
cfg_rwn_i,36.26µm
_0363_,35.99µm
_0311_,35.94µm
_0803_,35.94µm
u_dc_fifo_tx.u_din.buffer.data\[21\],35.94µm
cfg_data_o[3],35.905µm
_0068_,35.89µm
_0397_,35.89µm
u_dc_fifo_rx.u_din.buffer.data\[26\],35.89µm
net302,35.89µm
cfg_rx_bytes_left_i[2],35.855µm
cfg_tx_bytes_left_i[4],35.855µm
_0378_,35.84µm
net149,35.84µm
net388,35.84µm
net456,35.75µm
cfg_tx_continuous_o,35.7µm
_0356_,35.43µm
u_dc_fifo_tx.u_din.buffer.data\[1\],35.38µm
net438,35.38µm
net18,35.33µm
net274,35.33µm
net432,35.33µm
clknet_5_15__leaf_periph_clk_i,35.33µm
cfg_data_i[17],35.295µm
_0399_,35.28µm
net364,35.28µm
u_dc_fifo_tx.u_din.buffer.data\[25\],34.82µm
u_dc_fifo_tx.u_din.buffer.data\[27\],34.77µm
clknet_4_6_0_sys_clk_i,34.77µm
cfg_addr_i[2],34.63µm
cfg_data_i[4],34.58µm
cfg_data_o[8],34.58µm
cfg_tx_size_o[3],34.58µm
_0688_,34.36µm
u_uart_tx.baud_cnt\[13\],34.31µm
net161,34.26µm
u_dc_fifo_tx.u_din.buffer.data\[28\],34.26µm
net116,34.21µm
cfg_tx_bytes_left_i[10],34.175µm
_0384_,34.16µm
net411,33.7µm
net417,33.7µm
_0329_,33.65µm
net197,33.65µm
u_uart_rx.reg_bit_count\[0\],33.65µm
clknet_4_3_0_periph_clk_i,33.65µm
cfg_rx_bytes_left_i[4],33.615µm
cfg_rx_curr_addr_i[1],33.615µm
cfg_rx_pending_i,33.615µm
_0765_,33.6µm
net465,33.51µm
cfg_data_o[7],33.46µm
u_dc_fifo_tx.u_din.buffer.data\[18\],33.09µm
net352,33.09µm
cfg_data_i[27],33.055µm
cfg_rx_bytes_left_i[3],33.055µm
cfg_rx_bytes_left_i[6],33.055µm
cfg_tx_curr_addr_i[6],33.055µm
_0209_,33.04µm
net56,33.04µm
net355,33.04µm
cfg_tx_curr_addr_i[8],32.95µm
s_uart_div\[14\],32.63µm
u_dc_fifo_rx.u_din.buffer.data\[2\],32.58µm
clknet_4_0_0_sys_clk_i,32.58µm
u_dc_fifo_rx.u_din.buffer.data\[7\],32.53µm
u_fifo.i_fifo.buffer\[1\]\[3\],32.53µm
u_reg_if.r_uart_rx_data\[3\],32.53µm
cfg_data_i[18],32.495µm
data_rx_o[1],32.495µm
_0615_,32.48µm
net196,32.48µm
u_dc_fifo_rx.u_din.buffer.data\[29\],32.48µm
u_uart_rx.baud_cnt\[11\],32.12µm
_0657_,32.02µm
s_uart_div\[9\],32.02µm
cfg_rx_curr_addr_i[2],31.985µm
_0614_,31.97µm
net175,31.97µm
net70,31.97µm
u_uart_tx.reg_data\[7\],31.97µm
cfg_rx_bytes_left_i[1],31.935µm
cfg_tx_curr_addr_i[2],31.935µm
cfg_tx_curr_addr_i[5],31.935µm
cfg_tx_pending_i,31.935µm
net42,31.92µm
clknet_4_7_0_periph_clk_i,31.92µm
_0444_,31.41µm
_0807_,31.41µm
net121,31.41µm
cfg_data_i[24],31.375µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[1\],31.36µm
u_uart_tx.reg_data\[0\],31.36µm
net281,31.36µm
net385,31.36µm
clknet_4_1_0_sys_clk_i,31.36µm
clknet_4_10_0_periph_clk_i,31.36µm
_0574_,30.95µm
_0521_,30.9µm
_0740_,30.9µm
net131,30.9µm
net153,30.9µm
net187,30.9µm
u_dc_fifo_rx.u_din.buffer.data\[18\],30.9µm
u_dc_fifo_tx.u_din.full.full_synch.d_out\[0\],30.85µm
net337,30.85µm
clknet_4_3_0_sys_clk_i,30.85µm
cfg_valid_i,30.66µm
_0679_,30.39µm
net160,30.34µm
u_reg_if.r_uart_rx_data\[2\],30.34µm
_0585_,30.29µm
_0722_,30.29µm
net102,30.29µm
i_ep_event.i_sync_clkb.i_pulp_sync.r_reg\[1\],30.29µm
u_dc_fifo_rx.u_din.buffer.data\[19\],30.29µm
u_dc_fifo_rx.u_din.buffer.data\[9\],30.29µm
cfg_data_i[30],30.255µm
cfg_rx_curr_addr_i[5],30.255µm
net263,30.24µm
cfg_rx_bytes_left_i[9],30.1µm
u_dc_fifo_rx.u_din.buffer.data\[4\],29.78µm
u_uart_tx.reg_data\[2\],29.78µm
u_fifo.i_fifo.buffer\[1\]\[1\],29.73µm
net377,29.73µm
cfg_rx_bytes_left_i[0],29.695µm
cfg_rx_bytes_left_i[13],29.695µm
cfg_tx_bytes_left_i[5],29.695µm
net123,29.68µm
net374,29.68µm
cfg_data_i[13],29.54µm
u_dc_fifo_rx.u_din.full.full_synch.d_out\[0\],29.32µm
_0702_,29.22µm
_0501_,29.17µm
s_uart_div\[13\],29.17µm
u_uart_tx.reg_data\[5\],29.17µm
net224,29.17µm
net330,29.17µm
_0370_,29.12µm
net45,29.12µm
net243,29.12µm
clknet_4_14_0_sys_clk_i,29.12µm
cfg_tx_bytes_left_i[9],28.98µm
clknet_4_11_0_sys_clk_i,28.66µm
_0414_,28.61µm
net73,28.61µm
net100,28.61µm
net351,28.61µm
net341,28.61µm
cfg_rx_bytes_left_i[5],28.575µm
cfg_rx_curr_addr_i[6],28.575µm
cfg_tx_bytes_left_i[14],28.575µm
cfg_tx_bytes_left_i[2],28.575µm
cfg_tx_en_i,28.575µm
net144,28.56µm
net74,28.56µm
net270,28.56µm
_0748_,28.15µm
_0710_,28.1µm
net22,28.1µm
_0016_,28.05µm
_0762_,28.05µm
net9,28.05µm
net201,28.05µm
u_dc_fifo_rx.u_din.buffer.data\[30\],28.05µm
net440,28.05µm
_0398_,28µm
_0623_,28µm
r_uart_en_tx_sync\[1\],28µm
cfg_data_i[6],27.86µm
cfg_data_i[7],27.86µm
_0291_,27.59µm
u_dc_fifo_rx.u_din.buffer.data\[3\],27.54µm
cfg_tx_curr_addr_i[3],27.505µm
net154,27.49µm
cfg_rx_bytes_left_i[12],27.455µm
cfg_rx_bytes_left_i[15],27.455µm
cfg_rx_en_i,27.455µm
cfg_tx_bytes_left_i[1],27.455µm
cfg_tx_bytes_left_i[3],27.455µm
cfg_tx_bytes_left_i[7],27.455µm
cfg_tx_curr_addr_i[1],27.455µm
r_status_sync\[1\],27.44µm
net284,27.44µm
net395,27.44µm
net339,27.44µm
cfg_rx_curr_addr_i[8],27.3µm
cfg_rx_curr_addr_i[9],27.3µm
data_rx_valid_o,27.3µm
u_fifo.i_fifo.buffer\[1\]\[6\],26.98µm
cfg_tx_bytes_left_i[6],26.945µm
_0359_,26.93µm
_0402_,26.93µm
_0653_,26.93µm
u_reg_if.r_uart_rx_data\[4\],26.93µm
net383,26.93µm
clknet_4_9_0_sys_clk_i,26.93µm
cfg_rx_curr_addr_i[7],26.895µm
_0383_,26.88µm
_0390_,26.88µm
_0649_,26.88µm
net138,26.88µm
u_dc_fifo_rx.u_din.buffer.data\[6\],26.88µm
cfg_rx_bytes_left_i[7],26.74µm
cfg_tx_size_o[14],26.74µm
cfg_data_i[31],26.645µm
_0720_,26.37µm
_0827_,26.37µm
clknet_4_4_0_periph_clk_i,26.37µm
cfg_rx_curr_addr_i[3],26.335µm
cfg_tx_bytes_left_i[0],26.335µm
cfg_tx_curr_addr_i[0],26.335µm
net287,26.32µm
cfg_data_i[1],26.18µm
_0301_,25.86µm
_0529_,25.86µm
_0669_,25.86µm
u_reg_if.r_err_parity,25.86µm
_0673_,25.81µm
