net,length_um
clknet_0_sys_clk_i,941.3µm
clknet_0_periph_clk_i,698.92µm
net322,595.58µm
net422,490.15µm
net313,414.24µm
net111,407.83µm
net318,401.72µm
net317,397.75µm
_0353_,383.49µm
net315,380.57µm
net295,366.95µm
net6,349.18µm
net421,347.91µm
sys_clk_i,346.55µm
_0790_,311.56µm
_0364_,301.94µm
_0456_,296.03µm
_0409_,268.44µm
_0461_,267.42µm
s_uart_bits\[1\],262.13µm
net311,258.97µm
_0413_,256.58µm
net446,250.47µm
_0795_,242.68µm
s_uart_stop_bits,234.69µm
_0412_,234.33µm
periph_clk_i,231.14µm
net328,230.46µm
net416,229.38µm
net336,229.19µm
net304,227.66µm
net326,227.51µm
s_data_rx_dc\[1\],225.22µm
net321,224.2µm
_0747_,220.84µm
net406,219.72µm
net32,216.31µm
net434,216.31µm
_0462_,215.85µm
_0357_,213.91µm
_0360_,212.39µm
net444,209.23µm
net17,208.42µm
net320,207.45µm
net37,206.23µm
net230,203.58µm
r_uart_div\[2\],200.07µm
net445,200.07µm
net523,199.97µm
net427,198.85µm
_0394_,198.8µm
net31,198.54µm
r_uart_div\[7\],198.34µm
r_uart_div\[3\],197.73µm
s_uart_rx_polling_en,197.12µm
_0355_,194.98µm
net288,194.47µm
r_uart_bits\[0\],193.96µm
net36,193.91µm
net286,192.38µm
net514,190.04µm
net229,189.48µm
net509,187.65µm
net331,185.46µm
net508,184.44µm
net314,183.98µm
net521,183.22µm
net324,182.71µm
s_data_rx_dc\[5\],182.2µm
_0523_,182.1µm
_0451_,182.05µm
net410,180.67µm
net316,179.96µm
net5,179.4µm
r_uart_div\[1\],179.35µm
net220,178.13µm
net333,177.87µm
net157,177.01µm
net426,176.8µm
net179,176.6µm
r_uart_div\[5\],175.99µm
net401,175.53µm
clknet_5_10__leaf_sys_clk_i,174.46µm
s_uart_en_tx,174.26µm
net228,173.75µm
net510,172.63µm
net506,170.85µm
_0793_,169.22µm
net34,167.69µm
clknet_5_14__leaf_sys_clk_i,167.08µm
net504,167.03µm
clknet_5_31__leaf_sys_clk_i,166.52µm
net524,166.06µm
r_uart_div\[12\],165.3µm
clknet_5_30__leaf_sys_clk_i,164.94µm
r_uart_bits\[1\],163.67µm
net412,160.87µm
net214,160.82µm
net28,160.31µm
net413,158.63µm
r_uart_div\[8\],158.54µm
net515,157µm
net3,155.83µm
net507,155.68µm
clknet_5_0__leaf_sys_clk_i,155.27µm
net128,155.17µm
u_uart_rx.baud_cnt\[0\],153.03µm
net2,152.67µm
net207,151.81µm
net323,150.74µm
net303,150.13µm
net436,149.77µm
s_data_rx_dc\[0\],149.67µm
_0515_,149.57µm
net206,149.56µm
net419,149.11µm
net38,148.04µm
net512,147.99µm
s_uart_en_rx,147.43µm
_0739_,147.33µm
net85,146.72µm
net408,146.36µm
net309,146.26µm
r_uart_div\[15\],145.8µm
net76,145.65µm
_0374_,145.04µm
clknet_5_6__leaf_sys_clk_i,144.53µm
net257,144.12µm
net441,143.56µm
net33,142.9µm
net522,141.98µm
_0377_,141.78µm
net292,141.78µm
clknet_5_29__leaf_sys_clk_i,141.22µm
net327,140.3µm
net112,139.49µm
clknet_5_11__leaf_sys_clk_i,139.13µm
r_uart_div\[9\],138.98µm
r_uart_div\[13\],137.91µm
net505,137.4µm
net21,137.25µm
net516,136.28µm
net231,135.62µm
net177,135.06µm
net255,135.01µm
net99,134.04µm
net431,133.38µm
u_uart_rx.baud_cnt\[4\],133.33µm
clknet_5_22__leaf_periph_clk_i,131.14µm
net258,130.96µm
net146,130.53µm
net502,129.51µm
_0430_,129.46µm
r_uart_div\[6\],129.41µm
net167,129.36µm
s_data_rx_dc\[4\],129µm
net170,127.96µm
net497,126.76µm
net256,126.66µm
_0706_,126.05µm
s_uart_rx_irq_en,125.64µm
net437,123.91µm
_0450_,123.86µm
net168,123.81µm
u_uart_rx.bit_done,122.64µm
r_uart_div\[14\],122.23µm
net251,121.72µm
_0479_,121.62µm
net501,120.7µm
net225,120.45µm
u_uart_rx.baud_cnt\[9\],119.99µm
net227,119.99µm
net308,119.99µm
_0376_,119.89µm
u_uart_rx.reg_rx_sync\[2\],118.87µm
net294,118.87µm
clknet_5_18__leaf_sys_clk_i,118.87µm
u_uart_rx.baud_cnt\[3\],118.77µm
net353,118.77µm
net4,118.31µm
clknet_5_12__leaf_sys_clk_i,116.63µm
clknet_5_0__leaf_periph_clk_i,116.63µm
net517,116.63µm
s_uart_bits\[0\],116.53µm
net299,116.53µm
u_uart_tx.busy_o,115.56µm
clknet_5_7__leaf_sys_clk_i,115.46µm
_0369_,113.73µm
net103,113.22µm
s_uart_rx_clean_fifo,113.17µm
u_dc_fifo_rx.u_din.full.full_synch.d_in\[0\],113.17µm
u_uart_tx.bit_done,112.76µm
net1,112.15µm
net405,111.59µm
_0478_,111.54µm
net290,111.54µm
u_reg_if.r_uart_rx_data\[1\],110.37µm
net298,109.4µm
u_uart_rx.baud_cnt\[6\],109.2µm
net194,108.13µm
net226,108.13µm
net424,108.13µm
net429,107.62µm
_0513_,107.52µm
net399,106.96µm
_0746_,106.5µm
clknet_5_28__leaf_periph_clk_i,106.45µm
net218,105.84µm
clknet_5_4__leaf_sys_clk_i,105.48µm
net293,105.38µm
clknet_5_18__leaf_periph_clk_i,104.87µm
net498,104.26µm
cfg_tx_startaddr_o[0],103.46µm
cfg_tx_startaddr_o[9],103.27µm
_0744_,103.14µm
net198,103.09µm
net518,102.25µm
clknet_5_5__leaf_sys_clk_i,102.02µm
net212,101.97µm
net335,101.97µm
_0512_,100.95µm
u_dc_fifo_rx.u_din.write_token\[3\],100.85µm
cfg_rx_size_o[8],100.66µm
clknet_5_16__leaf_sys_clk_i,100.39µm
u_uart_rx.baud_cnt\[10\],100.29µm
net511,99.78µm
clknet_5_28__leaf_sys_clk_i,99.32µm
_0429_,99.17µm
clknet_5_22__leaf_sys_clk_i,98.66µm
cfg_rx_startaddr_o[0],98.57µm
cfg_tx_startaddr_o[3],98.42µm
u_uart_tx.CS\[2\],98.03µm
net203,97.44µm
u_dc_fifo_rx.u_din.write_token\[1\],97.08µm
_0743_,96.98µm
net503,96.93µm
cfg_tx_startaddr_o[6],96.74µm
net188,96.37µm
_0685_,95.76µm
u_dc_fifo_rx.u_din.write_token\[0\],94.84µm
net334,94.74µm
clknet_5_8__leaf_periph_clk_i,94.69µm
cfg_rx_size_o[0],94.5µm
u_dc_fifo_tx.u_din.write_token\[3\],94.33µm
clknet_5_3__leaf_periph_clk_i,94.28µm
clknet_5_17__leaf_sys_clk_i,94.18µm
net190,94.08µm
cfg_rx_startaddr_o[3],93.94µm
r_uart_parity_en,93.72µm
u_dc_fifo_tx.u_din.write_token\[0\],93.67µm
_0445_,93.62µm
net343,93.52µm
cfg_tx_size_o[7],93.43µm
u_uart_rx.CS\[1\],93.16µm
u_uart_tx.baud_cnt\[1\],93.11µm
clknet_5_13__leaf_periph_clk_i,93.06µm
cfg_tx_size_o[13],92.92µm
cfg_rx_size_o[1],92.26µm
clknet_5_9__leaf_periph_clk_i,92.09µm
s_uart_parity_en,91.38µm
net300,91.38µm
clknet_5_29__leaf_periph_clk_i,91.33µm
net267,91.28µm
cfg_rx_startaddr_o[7],91.14µm
clknet_5_19__leaf_sys_clk_i,91.02µm
_0707_,90.77µm
net370,90.72µm
net396,90.26µm
cfg_rx_size_o[13],90.02µm
_0785_,89.7µm
net200,89.7µm
net520,89.14µm
cfg_rx_size_o[6],89.05µm
_0496_,88.58µm
net158,88.58µm
r_uart_en_tx_sync\[2\],88.58µm
clknet_5_13__leaf_sys_clk_i,88.58µm
net369,88.48µm
net312,88.48µm
net213,87.92µm
s_data_rx_dc\[2\],87.51µm
net216,87.46µm
clknet_5_19__leaf_periph_clk_i,87.41µm
s_data_rx_dc\[7\],86.9µm
net391,86.85µm
u_dc_fifo_tx.u_dout.read_token\[1\],86.39µm
u_uart_tx.baud_cnt\[0\],86.29µm
_0592_,86.24µm
clknet_5_24__leaf_periph_clk_i,85.78µm
clknet_5_26__leaf_periph_clk_i,85.32µm
r_uart_div\[4\],85.27µm
cfg_tx_startaddr_o[8],84.98µm
cfg_rx_startaddr_o[8],84.98µm
u_dc_fifo_tx.u_din.write_token\[2\],84.71µm
u_uart_rx.baud_cnt\[5\],84.66µm
clknet_5_23__leaf_periph_clk_i,84.66µm
r_uart_div\[10\],84.61µm
net239,84.61µm
net439,84.2µm
_0447_,83.59µm
net147,83.49µm
r_uart_div\[0\],83.49µm
net113,83.44µm
cfg_tx_size_o[9],83.35µm
clknet_5_21__leaf_sys_clk_i,83.26µm
clknet_5_25__leaf_periph_clk_i,83.13µm
_0723_,82.98µm
net173,82.98µm
clknet_5_15__leaf_sys_clk_i,82.93µm
net519,82.93µm
clknet_5_3__leaf_sys_clk_i,82.47µm
clknet_5_24__leaf_sys_clk_i,82.47µm
cfg_tx_size_o[6],82.18µm
_0460_,81.81µm
clknet_5_14__leaf_periph_clk_i,81.35µm
net420,81.3µm
clknet_5_1__leaf_periph_clk_i,81.25µm
cfg_rx_size_o[2],81.06µm
_0006_,80.69µm
_0800_,80.69µm
clknet_5_26__leaf_sys_clk_i,80.69µm
u_uart_tx.CS\[0\],80.43µm
clknet_5_21__leaf_periph_clk_i,80.28µm
u_uart_tx.CS\[1\],80.23µm
cfg_tx_startaddr_o[4],79.94µm
cfg_rx_size_o[5],79.53µm
cfg_tx_startaddr_o[7],79.38µm
cfg_rx_startaddr_o[6],79.38µm
cfg_rx_startaddr_o[5],79.38µm
_0712_,79.06µm
clknet_5_7__leaf_periph_clk_i,79.01µm
net222,78.96µm
