Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_29_228,VDD,Metal1,135.9000,129.7925,4.999804
FILLER_29_212,VDD,Metal1,130.5280,130.0520,4.999804
FILLER_29_187,VDD,Metal1,112.0000,129.3600,4.999804
FILLER_29_179,VDD,Metal1,109.7065,129.9365,4.999804
FILLER_29_142,VDD,Metal1,86.5200,129.3600,4.999819
FILLER_29_139,VDD,Metal1,84.8400,129.3600,4.999819
FILLER_29_137,VDD,Metal1,84.0000,129.3600,4.999819
FILLER_29_129,VDD,Metal1,81.7065,129.9365,4.999819
FILLER_29_94,VDD,Metal1,59.6400,129.3600,4.999828
FILLER_29_92,VDD,Metal1,58.8000,129.3600,4.999832
FILLER_29_88,VDD,Metal1,57.5000,129.7925,4.999832
FILLER_29_72,VDD,Metal1,52.1280,130.0520,4.999832
FILLER_29_68,VDD,Metal1,45.3600,129.3600,4.999838
FILLER_29_60,VDD,Metal1,43.0665,129.9365,4.999839
FILLER_29_44,VDD,Metal1,36.4480,130.0520,4.999840
FILLER_28_247,VDD,Metal1,146.5400,128.9275,4.999804
FILLER_28_228,VDD,Metal1,134.6800,129.3600,4.999804
FILLER_28_226,VDD,Metal1,133.8400,129.3600,4.999804
FILLER_28_189,VDD,Metal1,112.8400,129.3600,4.999804
FILLER_28_185,VDD,Metal1,111.8200,128.9275,4.999804
FILLER_28_177,VDD,Metal1,108.5865,128.7830,4.999805
FILLER_28_128,VDD,Metal1,88.0355,128.5910,4.999819
FILLER_28_121,VDD,Metal1,74.7600,129.3600,4.999823
FILLER_28_119,VDD,Metal1,73.9200,129.3600,4.999823
FILLER_28_115,VDD,Metal1,72.6200,128.9275,4.999823
FILLER_28_107,VDD,Metal1,69.3865,128.7830,4.999823
FILLER_28_101,VDD,Metal1,64.7800,128.9275,4.999823
FILLER_28_91,VDD,Metal1,58.2400,129.3600,4.999832
FILLER_28_75,VDD,Metal1,53.8080,128.6680,4.999832
FILLER_28_68,VDD,Metal1,45.0800,129.3600,4.999838
FILLER_28_66,VDD,Metal1,44.2400,129.3600,4.999840
FILLER_28_50,VDD,Metal1,39.8080,128.6680,4.999840
FILLER_28_41,VDD,Metal1,29.9600,129.3600,4.999841
FILLER_28_37,VDD,Metal1,28.9400,128.9275,4.999841
FILLER_28_34,VDD,Metal1,26.0400,129.3600,4.999845
FILLER_28_18,VDD,Metal1,21.8880,128.6680,4.999891
FILLER_28_2,VDD,Metal1,10.5865,128.7830,4.999891
FILLER_27_214,VDD,Metal1,126.8400,121.5200,4.999888
FILLER_27_212,VDD,Metal1,126.0000,121.5200,4.999888
FILLER_27_198,VDD,Metal1,119.1000,121.9525,4.999889
