Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_95_626,VDD,Metal1,358.7800,388.5125,4.499717
FILLER_95_562,VDD,Metal1,340.0750,388.8940,4.499717
FILLER_95_559,VDD,Metal1,320.0400,388.0800,4.499717
FILLER_95_557,VDD,Metal1,319.2000,388.0800,4.499717
FILLER_95_553,VDD,Metal1,317.9000,388.5125,4.499717
FILLER_95_537,VDD,Metal1,312.5280,388.7720,4.499717
FILLER_95_502,VDD,Metal1,288.1200,388.0800,4.499716
FILLER_95_500,VDD,Metal1,287.2800,388.0800,4.499716
FILLER_95_492,VDD,Metal1,284.9865,388.6565,4.499716
FILLER_95_486,VDD,Metal1,280.3800,388.5125,4.499716
FILLER_95_433,VDD,Metal1,249.7600,388.0800,4.499721
FILLER_95_419,VDD,Metal1,241.6400,388.0800,4.499724
FILLER_95_352,VDD,Metal1,208.9280,388.7720,4.499730
FILLER_95_337,VDD,Metal1,196.0000,388.0800,4.499733
FILLER_95_310,VDD,Metal1,180.6000,388.0800,4.499742
FILLER_95_308,VDD,Metal1,179.7600,388.0800,4.499742
FILLER_95_304,VDD,Metal1,178.4600,388.5125,4.499742
FILLER_95_288,VDD,Metal1,168.2800,388.0800,4.499742
FILLER_95_286,VDD,Metal1,167.4400,388.0800,4.499742
FILLER_95_282,VDD,Metal1,166.1400,388.5125,4.499742
FILLER_95_276,VDD,Metal1,162.7800,388.5125,4.499742
FILLER_95_212,VDD,Metal1,144.0750,388.8940,4.499746
FILLER_95_206,VDD,Metal1,123.5800,388.5125,4.499746
FILLER_95_142,VDD,Metal1,104.8750,388.8940,4.499746
FILLER_95_136,VDD,Metal1,84.3800,388.5125,4.499746
FILLER_95_72,VDD,Metal1,65.6750,388.8940,4.499746
FILLER_95_66,VDD,Metal1,45.1800,388.5125,4.499746
FILLER_95_2,VDD,Metal1,26.4750,388.8940,4.499746
FILLER_94_693,VDD,Metal1,395.0800,388.0800,4.499717
FILLER_94_691,VDD,Metal1,394.2400,388.0800,4.499717
FILLER_94_683,VDD,Metal1,391.9465,387.5030,4.499717
