net,length_um
clknet_0_sys_clk_i,1.05483mm
clknet_0_periph_clk_i,710.27µm
net339,603.82µm
net456,492.39µm
net331,398.46µm
net111,394.95µm
net328,385.25µm
net326,378.45µm
net330,369.19µm
net303,368.17µm
sys_clk_i,346.55µm
net6,329.99µm
net336,303.16µm
_0364_,299.29µm
_0456_,293.79µm
net455,287.99µm
_0461_,265.84µm
s_uart_bits\[1\],262.18µm
clknet_5_27__leaf_sys_clk_i,260.09µm
net255,256.12µm
net323,254.34µm
net485,244.92µm
net351,242.12µm
_0412_,239.17µm
_0747_,236.16µm
net361,233.67µm
s_uart_stop_bits,230.82µm
net340,230.61µm
net448,229.85µm
periph_clk_i,229.46µm
s_data_rx_dc\[1\],224.76µm
_0462_,224.2µm
net338,224.15µm
net346,222.52µm
net296,218.65µm
net17,215.8µm
net434,215.8µm
net315,215.29µm
net471,215.24µm
_0357_,214.59µm
net337,213.28µm
net32,211.22µm
r_uart_div\[7\],207.45µm
net37,205.06µm
net483,203.58µm
net541,203.53µm
net484,202.87µm
net543,202.36µm
_0394_,199.36µm
net31,199.1µm
net293,198.44µm
r_uart_div\[3\],197.88µm
net229,197.78µm
r_uart_div\[2\],197.22µm
net224,195.03µm
net428,193.91µm
net343,192.69µm
r_uart_bits\[0\],192.38µm
s_uart_rx_polling_en,192.33µm
net542,191.57µm
s_data_rx_dc\[5\],191.01µm
net230,190.75µm
net461,189.43µm
net167,188.72µm
clknet_5_6__leaf_sys_clk_i,187.29µm
net5,183.27µm
r_uart_div\[1\],183.27µm
clknet_5_25__leaf_sys_clk_i,182.86µm
_0451_,182.61µm
net220,182.05µm
net36,181.59µm
net344,180.47µm
net327,179.96µm
net157,178.13µm
net539,177.57µm
net353,176.6µm
r_uart_div\[5\],175.99µm
clknet_5_10__leaf_sys_clk_i,174.82µm
net228,173.75µm
net426,172.73µm
net438,172.22µm
s_uart_en_tx,172.02µm
clknet_5_26__leaf_sys_clk_i,170.95µm
net463,170.34µm
