net,length_um
clknet_5_16__leaf_periph_clk_i,95.86µm
cfg_tx_size_o[4],95.77µm
cfg_tx_startaddr_o[9],95.62µm
cfg_rx_startaddr_o[1],95.62µm
s_data_rx_dc\[2\],95.3µm
clknet_5_26__leaf_sys_clk_i,95.3µm
net334,95.25µm
net453,94.79µm
clknet_5_22__leaf_periph_clk_i,94.79µm
u_uart_rx.CS\[1\],94.28µm
r_uart_parity_en,94.23µm
u_dc_fifo_tx.u_din.write_token\[3\],94.23µm
clknet_5_24__leaf_sys_clk_i,94.18µm
clknet_5_13__leaf_periph_clk_i,93.77µm
_0447_,93.62µm
clknet_5_19__leaf_periph_clk_i,93.01µm
cfg_tx_curr_addr_i[4],92.975µm
net68,92.55µm
u_uart_tx.bit_done,92.55µm
clknet_5_21__leaf_periph_clk_i,92.55µm
_0446_,92.5µm
r_uart_div\[4\],92.5µm
cfg_tx_bytes_left_i[7],92.415µm
net457,92.04µm
clknet_5_18__leaf_sys_clk_i,91.99µm
net421,91.94µm
net92,91.89µm
cfg_rx_size_o[0],91.85µm
net260,91.28µm
net190,90.72µm
_0785_,90.16µm
net256,89.6µm
cfg_tx_size_o[13],89.46µm
s_data_rx_dc\[7\],89.14µm
cfg_rx_bytes_left_i[4],89.055µm
clknet_5_12__leaf_periph_clk_i,88.68µm
cfg_rx_startaddr_o[5],88.34µm
clknet_5_9__leaf_sys_clk_i,88.12µm
net357,88.07µm
_0298_,88.02µm
net50,87.92µm
net259,87.92µm
net333,87.92µm
cfg_rx_startaddr_o[7],87.83µm
cfg_tx_size_o[9],87.78µm
cfg_tx_size_o[8],87.78µm
_0685_,87.51µm
_0445_,87.46µm
_0502_,87.46µm
net215,87.46µm
cfg_tx_size_o[3],87.22µm
net258,87.05µm
net477,87µm
clknet_5_18__leaf_periph_clk_i,86.9µm
net188,86.8µm
u_uart_tx.CS\[0\],86.34µm
net538,86.34µm
clknet_5_15__leaf_sys_clk_i,86.29µm
_0592_,86.24µm
_0409_,85.83µm
clknet_5_24__leaf_periph_clk_i,85.78µm
cfg_rx_curr_addr_i[4],85.695µm
u_dc_fifo_tx.u_dout.read_token\[1\],85.27µm
clknet_5_21__leaf_sys_clk_i,85.27µm
clknet_5_2__leaf_periph_clk_i,85.27µm
u_dc_fifo_rx.u_din.write_token\[1\],85.17µm
cfg_tx_startaddr_o[6],84.98µm
u_dc_fifo_rx.u_din.write_token\[0\],84.71µm
clknet_5_28__leaf_periph_clk_i,84.71µm
cfg_addr_i[0],84.42µm
u_uart_rx.baud_cnt\[5\],84.15µm
r_uart_div\[0\],84.1µm
u_dc_fifo_tx.u_din.write_token\[0\],84.05µm
u_uart_tx.baud_cnt\[0\],83.69µm
net324,83.49µm
cfg_rx_startaddr_o[4],83.35µm
clknet_5_23__leaf_periph_clk_i,83.03µm
net437,82.47µm
net104,82.42µm
cfg_rx_curr_addr_i[5],82.335µm
cfg_addr_i[2],82.18µm
cfg_tx_size_o[5],82.18µm
net103,81.86µm
net429,81.86µm
_0532_,81.81µm
cfg_addr_i[3],81.62µm
cfg_data_i[4],81.62µm
net109,81.25µm
r_uart_div\[10\],81.25µm
_0006_,80.69µm
_0712_,80.23µm
net273,80.18µm
clknet_5_10__leaf_periph_clk_i,80.18µm
net183,80.13µm
cfg_tx_size_o[7],79.94µm
_0540_,79.57µm
cfg_tx_startaddr_o[7],79.38µm
cfg_rx_startaddr_o[8],79.38µm
u_dc_fifo_tx.u_din.write_token\[2\],79.21µm
clknet_5_2__leaf_sys_clk_i,79.21µm
cfg_rx_pending_i,79.195µm
clknet_5_9__leaf_periph_clk_i,79.16µm
r_uart_en_tx_sync\[2\],79.06µm
net272,79.06µm
cfg_tx_curr_addr_i[5],78.975µm
clknet_5_17__leaf_periph_clk_i,78.65µm
net155,78.5µm
cfg_rx_startaddr_o[6],78.36µm
net515,78.26µm
net478,78.04µm
data_rx_o[6],77.905µm
_0408_,77.89µm
u_fifo.i_fifo.elements\[0\],77.89µm
_0370_,77.38µm
_0697_,77.38µm
net39,77.33µm
