net,length_um
s_uart_rx_irq_en,108.23µm
net427,107.87µm
net350,107.57µm
_0501_,107.16µm
net367,107.01µm
net253,107.01µm
net342,106.5µm
net2,105.99µm
net555,105.48µm
s_data_rx_dc\[4\],105.43µm
u_uart_rx.r_error_parity,105.38µm
net195,105.33µm
net278,105.28µm
net548,104.31µm
net546,103.8µm
_0744_,103.75µm
_0565_,103.7µm
_0698_,103.7µm
_0753_,103.65µm
_0786_,103.19µm
u_dc_fifo_tx.u_din.write_token\[0\],103.14µm
net198,103.09µm
s_data_rx_dc\[1\],102.83µm
u_uart_tx.CS\[2\],102.78µm
s_uart_div\[9\],102.63µm
_0774_,102.58µm
s_data_rx_dc\[2\],102.02µm
u_uart_tx.baud_cnt\[8\],101.61µm
u_uart_tx.baud_cnt\[1\],101.51µm
clknet_5_28__leaf_periph_clk_i,101.51µm
_0755_,101.41µm
clknet_5_20__leaf_sys_clk_i,101.05µm
s_uart_rx_clean_fifo,100.9µm
_0506_,100.39µm
net200,100.29µm
net7,100.24µm
u_dc_fifo_rx.u_dout.read_token\[3\],99.93µm
net439,99.78µm
net543,99.32µm
_0823_,99.17µm
_0507_,98.71µm
net155,98.71µm
clknet_5_29__leaf_periph_clk_i,98.66µm
cfg_rx_startaddr_o[5],98.42µm
u_uart_tx.baud_cnt\[5\],98.1µm
net408,98µm
net398,97.44µm
_0726_,96.93µm
net105,96.47µm
r_uart_div\[9\],96.37µm
net388,96.32µm
cfg_tx_size_o[6],96.18µm
cfg_rx_size_o[5],96.18µm
net337,95.86µm
net558,95.45µm
cfg_rx_size_o[6],95.11µm
_0402_,94.79µm
_0549_,94.79µm
net434,94.23µm
net191,94.18µm
net219,94.13µm
s_data_rx_dc\[7\],93.39µm
s_uart_div\[1\],93.01µm
net537,92.5µm
clknet_5_21__leaf_sys_clk_i,92.45µm
clknet_5_22__leaf_sys_clk_i,91.99µm
clknet_5_7__leaf_periph_clk_i,91.94µm
_0724_,91.38µm
_0331_,90.72µm
_0496_,90.72µm
clknet_5_12__leaf_sys_clk_i,90.36µm
clknet_5_24__leaf_periph_clk_i,90.31µm
net476,89.95µm
clknet_5_13__leaf_sys_clk_i,89.75µm
clknet_5_17__leaf_periph_clk_i,89.75µm
cfg_tx_size_o[5],89.46µm
u_dc_fifo_rx.u_din.write_token\[0\],89.24µm
clknet_5_17__leaf_sys_clk_i,89.19µm
cfg_rx_startaddr_o[0],89µm
_0729_,88.68µm
net260,88.68µm
u_uart_tx.busy_o,88.53µm
net228,88.53µm
clknet_5_30__leaf_periph_clk_i,88.53µm
net534,88.53µm
clknet_5_23__leaf_sys_clk_i,88.07µm
cfg_rx_startaddr_o[10],87.78µm
s_uart_div\[10\],87.41µm
cfg_rx_startaddr_o[11],87.22µm
u_dc_fifo_rx.u_din.write_token\[1\],87µm
clknet_5_12__leaf_periph_clk_i,87µm
_0528_,86.8µm
cfg_tx_size_o[8],86.66µm
cfg_tx_size_o[1],86.66µm
clknet_5_11__leaf_periph_clk_i,86.29µm
_0756_,86.24µm
_0817_,85.73µm
u_dc_fifo_tx.u_din.buffer.data\[19\],85.73µm
net419,85.68µm
net210,85.27µm
net194,85.22µm
net370,85.17µm
clknet_5_1__leaf_sys_clk_i,84.71µm
_0306_,84.56µm
net275,84.56µm
u_uart_tx.CS\[0\],84.2µm
clknet_5_4__leaf_periph_clk_i,84.2µm
net190,84.1µm
net389,84.05µm
net124,84µm
u_uart_rx.baud_cnt\[14\],83.92µm
cfg_tx_size_o[7],83.91µm
cfg_rx_size_o[9],83.86µm
u_dc_fifo_rx.u_dout.read_token\[0\],83.82µm
net557,83.64µm
clknet_5_6__leaf_periph_clk_i,83.59µm
clknet_5_16__leaf_periph_clk_i,83.54µm
_0831_,83.49µm
net164,83.49µm
_0502_,83.03µm
clknet_5_2__leaf_periph_clk_i,83.03µm
